k,E1,E2,E3,E4,E5,E6,E7,E8
0.28,0.5182,0.7655,0.7655,5.5192,7.6201,8.5101,8.5101,9.0429
0.29,0.5034,0.7631,0.7631,5.5512,7.5951,8.5421,8.5421,9.0529
0.3,0.4888,0.7607,0.7607,5.5837,7.57,8.575,8.575,9.0633
0.31,0.4744,0.7583,0.7583,5.6167,7.5447,8.6089,8.6089,9.0739
0.32,0.4603,0.7558,0.7558,5.6501,7.5194,8.6437,8.6437,9.0848
0.33,0.4463,0.7533,0.7533,5.6838,7.4939,8.6795,8.6795,9.096
0.34,0.4327,0.7508,0.7508,5.7179,7.4685,8.7163,8.7163,9.1075
0.35,0.4194,0.7483,0.7483,5.7523,7.4431,8.754,8.754,9.1192
0.36,0.4064,0.7458,0.7458,5.787,7.4177,8.7926,8.7926,9.1312
0.37,0.3938,0.7432,0.7432,5.822,7.3923,8.8321,8.8321,9.1435
0.38,0.3817,0.7407,0.7407,5.8572,7.3671,8.8724,8.8724,9.156
0.39,0.3699,0.7381,0.7381,5.8927,7.3419,8.9137,8.9137,9.1687
0.4,0.3586,0.7356,0.7356,5.9284,7.3169,8.9557,8.9557,9.1817
0.41,0.3477,0.733,0.733,5.9642,7.2921,8.9986,8.9986,9.1949
0.42,0.3374,0.7305,0.7305,6.0002,7.2674,9.0424,9.0424,9.2083
0.43,0.3275,0.728,0.728,6.0364,7.2428,9.0869,9.0869,9.222
0.44,0.3181,0.7254,0.7254,6.0727,7.2185,9.1321,9.1321,9.2358
0.45,0.3093,0.7229,0.7229,6.1091,7.1945,9.1782,9.1782,9.2498
0.46,0.301,0.7205,0.7205,6.1456,7.1706,9.2249,9.2249,9.264
0.47,0.2932,0.718,0.718,6.1822,7.1471,9.2724,9.2724,9.2783
0.48,0.286,0.7155,0.7155,6.2189,7.1238,9.2928,9.3206,9.3206
0.49,0.2794,0.7131,0.7131,6.2557,7.1007,9.3075,9.3694,9.3694
0.5,0.2733,0.7107,0.7107,6.2925,7.078,9.3223,9.4188,9.4188
0.51,0.2677,0.7084,0.7084,6.3294,7.0556,9.3372,9.4689,9.4689
0.52,0.2627,0.7061,0.7061,6.3663,7.0335,9.3522,9.5195,9.5195
0.53,0.2583,0.7038,0.7038,6.4032,7.0117,9.3673,9.5707,9.5707
0.54,0.2544,0.7015,0.7015,6.4401,6.9903,9.3825,9.6224,9.6224
0.55,0.251,0.6993,0.6993,6.4771,6.9692,9.3977,9.6746,9.6746
0.56,0.2482,0.6971,0.6971,6.514,6.9485,9.413,9.7273,9.7273
0.57,0.2459,0.695,0.695,6.5509,6.9282,9.4283,9.7803,9.7803
0.58,0.2441,0.6929,0.6929,6.5877,6.9082,9.4437,9.8337,9.8337
0.59,0.2428,0.6908,0.6908,6.6245,6.8887,9.4591,9.8875,9.8875
0.6,0.242,0.6888,0.6888,6.6612,6.8695,9.4744,9.9415,9.9415
0.61,0.2417,0.6869,0.6869,6.6978,6.8507,9.4898,9.9958,9.9958
0.62,0.2418,0.6849,0.6849,6.7343,6.8323,9.5051,10.0503,10.0503
0.63,0.2423,0.6831,0.6831,6.7707,6.8144,9.5203,10.1049,10.1049
0.64,0.2433,0.6813,0.6813,6.7968,6.807,9.5355,10.1595,10.1595
0.65,0.2447,0.6795,0.6795,6.7797,6.8431,9.5505,10.176,10.2142
0.66,0.2464,0.6778,0.6778,6.7631,6.879,9.5655,10.1609,10.2688
0.67,0.2485,0.6761,0.6761,6.7468,6.9146,9.5803,10.1438,10.3232
0.68,0.2509,0.6745,0.6745,6.731,6.9501,9.595,10.1251,10.3774
0.69,0.2537,0.6729,0.6729,6.7157,6.9852,9.6095,10.1049,10.4313
0.7,0.2567,0.6714,0.6714,6.7008,7.0201,9.6238,10.0833,10.4848
0.71,0.2599,0.6699,0.6699,6.6863,7.0546,9.638,10.0607,10.5377
0.72,0.2634,0.6685,0.6685,6.6723,7.0888,9.6519,10.0371,10.59
0.73,0.2672,0.6672,0.6672,6.6588,7.1225,9.6655,10.0129,10.6415
0.74,0.271,0.6659,0.6659,6.6457,7.1558,9.6789,9.9883,10.6922
0.75,0.2751,0.6646,0.6646,6.6331,7.1885,9.692,9.9634,10.7154
0.76,0.2792,0.6634,0.6634,6.621,7.2208,9.7048,9.9385,10.6689
0.77,0.2835,0.6622,0.6622,6.6093,7.2524,9.7172,9.9138,10.6234
0.78,0.2878,0.6611,0.6611,6.5982,7.2834,9.7293,9.8895,10.5789
0.79,0.2922,0.6601,0.6601,6.5875,7.3136,9.7411,9.8657,10.5355
0.8,0.2966,0.6591,0.6591,6.5772,7.3431,9.7524,9.8427,10.4929
0.81,0.301,0.6581,0.6581,6.5675,7.3718,9.7634,9.8206,10.4514
0.82,0.3053,0.6572,0.6572,6.5583,7.3996,9.7739,9.7995,10.4109
0.83,0.3096,0.6564,0.6564,6.5495,7.4264,9.7797,9.784,10.3714
0.84,0.3137,0.6556,0.6556,6.5413,7.4522,9.7611,9.7936,10.333
0.85,0.3178,0.6549,0.6549,6.5335,7.4768,9.7439,9.8027,10.2958
0.86,0.3217,0.6542,0.6542,6.5262,7.5003,9.7282,9.8113,10.2598
0.87,0.3255,0.6535,0.6535,6.5194,7.5226,9.7141,9.8195,10.225
0.88,0.329,0.6529,0.6529,6.5132,7.5436,9.7015,9.827,10.1917
0.89,0.3324,0.6524,0.6524,6.5074,7.5631,9.6905,9.8341,10.1599
0.9,0.3356,0.6519,0.6519,6.5021,7.5813,9.6812,9.8406,10.1297
0.91,0.3385,0.6514,0.6514,6.4973,7.5979,9.6734,9.8465,10.1014
0.92,0.3411,0.651,0.651,6.493,7.6129,9.6671,9.8518,10.0751
0.93,0.3435,0.6507,0.6507,6.4892,7.6263,9.6621,9.8565,10.0509
0.94,0.3456,0.6503,0.6503,6.4859,7.6381,9.6585,9.8606,10.0292
0.95,0.3473,0.6501,0.6501,6.4832,7.6481,9.6559,9.8641,10.0102
0.96,0.3488,0.6499,0.6499,6.4809,7.6563,9.6542,9.867,9.9941
0.97,0.35,0.6497,0.6497,6.4791,7.6628,9.6532,9.8692,9.9812
0.98,0.3508,0.6496,0.6496,6.4779,7.6674,9.6527,9.8708,9.9718
0.99,0.3513,0.6495,0.6495,6.4771,7.6702,9.6524,9.8717,9.9661
1.0,0.3515,0.6495,0.6495,6.4769,7.6711,9.6523,9.8721,9.9641
