k,E1,E2,E3,E4,E5,E6,E7,E8,E9
0.513333,3.688316944477755,3.896111644082024,4.350140904185154,5.863553783427269,6.114066434824319,6.2729044249910055,8.514716992445138,9.045041371867129,9.06611704041252
0.52,3.7197775512651394,3.8878162849262496,4.375956349682216,5.877599232521885,6.107647799496342,6.26530759083823,8.507653795419115,9.031124835112124,9.073563976495983
0.526667,3.749790142702962,3.87765919174961,4.402596234560499,5.891129032258064,6.101136227365392,6.257458927929008,8.500725506655474,9.017981772394771,9.080908981892312
0.533333,3.778330735100132,3.866081064875884,4.429697805492265,5.904047247871446,6.094666626693848,6.249361434224727,8.493956109845305,9.005603189830914,9.088122076987647
0.54,3.8053873366111044,3.853462645401127,4.4569582683775035,5.916230962945197,6.08840088739657,6.241030099532318,8.487372586641085,8.993974097613622,9.095176280129511
0.546667,3.8309479553903345,3.8401217172322824,4.48412279649838,5.927524283487228,6.082527881040892,6.23248890754287,8.480995922772514,8.983079505935962,9.102044609665427
0.553333,3.8263310948554983,3.854997601630891,4.510978534596474,5.937738337930207,6.0772724547307835,6.2237678378702475,8.474850101930686,8.972904424991006,9.108700083942917
0.56,3.8123246192589035,3.8775272814486144,4.537342607027221,5.946645281208778,6.0729014270296195,6.214908861973857,8.468956109845305,8.963436862933206,9.115118719270896
0.566667,3.7983091497781505,3.89853399688212,4.563047127952992,5.954002278450653,6.069690610384938,6.205959947235879,8.463328936323299,8.954661829955631,9.121273533996881
0.573333,3.7844645640964143,3.9180087540472477,4.587942199304473,5.959581484590478,6.067897829475956,6.1969810528840386,8.457992565055761,8.946558340328576,9.127140544429787
0.58,3.770949754167166,3.9359575488667704,4.611889914857897,5.963265979134188,6.067672982371987,6.18803213814606,8.45296198584962,8.9391144022065,9.132698764839908
0.586667,3.7579086221369464,3.9523833793020744,4.634758364312268,5.965100731502578,6.068998081304713,6.179191150017988,8.44825218851181,8.932315025782467,9.137930207458927
0.593333,3.7454730783067514,3.9672952392373184,4.656415637366591,5.965328576567933,6.071657273054322,6.170533037534476,8.443878162849263,8.926142223288164,9.142807890634367
0.6,3.733754047247871,3.98071111644082,4.6767358196426425,5.9643092696966065,6.075305792061398,6.162150737498501,8.439851900707518,8.920584002878043,9.147322820482072
0.606667,3.722859455570212,3.992643002758124,4.695595994723587,5.962441539752968,6.079565895191269,6.154131190790262,8.436188391893511,8.915625374745172,9.151451013310949
0.613333,3.7128792421153616,4.003126873725866,4.712876244153975,5.960079146180597,6.084092816884518,6.146573330135507,8.432893632330016,8.911248351121237,9.155180477275453
0.62,3.703894351840748,4.012186713035136,4.728459647439741,5.95751289123396,6.088601750809449,6.139576088259982,8.429976615901186,8.90744094016069,9.158502218491424
0.626667,3.6959767358196425,4.019861494183955,4.7422322820482075,5.9549616260942555,6.092873845784866,6.133238397889435,8.427446336491187,8.904191150017986,9.161398249190551
0.633333,3.689183355318383,4.026196186593117,4.754092217292241,5.952593236599112,6.096738218011751,6.127656193788224,8.425302794100011,8.901477994963425,9.163865571411439
0.64,3.6835681736419232,4.031241755606188,4.7639435184074825,5.950527641203982,6.10007195107327,6.122925410720709,8.423551984650437,8.899292481112843,9.16589219330855
0.646667,3.6791701642882835,4.03505216452812,4.771696246552344,5.948848782827677,6.102770116320901,6.1191329895670945,8.422193908142463,8.897619618659311,9.167472118959108
0.653333,3.6760133109485547,4.0376903705480265,4.7772874445377145,5.947613622736538,6.1047607626813765,6.116350881400647,8.421231562537473,8.896444417795898,9.168602350401727
0.66,3.67411859935244,4.039219330855018,4.780666147020026,5.9468611344285875,6.105986928888355,6.114648039333253,8.420655953951313,8.895748890754287,9.169282887636406
0.666667,3.67348602949994,4.039713994483751,4.7817933805012585,5.9466063077107565,6.106403645521046,6.1140724307470915,8.420464084422592,8.89552104568893,9.169510732701763
0.67,3.673641923492025,4.0395940760283,4.781511572130951,5.946669264899868,6.1062987168725265,6.114219330855018,8.420512051804772,8.895578006955269,9.169453771435423
