# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
0.72315 5.66300 6.66371 9.39426 11.27746 12.56015 14.83256 18.54437 19.64935 19.94175 20.04382 21.52344 24.67026
0.73481 5.71543 6.76043 9.43243 11.41741 12.58646 14.85939 18.55739 19.64919 19.92733 20.04555 21.51929 24.60479
0.74647 5.76629 6.85629 9.46955 11.55555 12.60612 14.89063 18.57063 19.64897 19.91345 20.04740 21.51446 24.53844
0.75814 5.81558 6.95125 9.50559 11.69187 12.61943 14.92587 18.58408 19.64870 19.90025 20.04938 21.50899 24.47123
0.76980 5.86331 7.04526 9.54052 11.82634 12.62677 14.96458 18.59772 19.64838 19.88784 20.05147 21.50294 24.40317
0.78146 5.90948 7.13827 9.57435 11.95896 12.62858 15.00620 18.61153 19.64801 19.87636 20.05366 21.49637 24.33426
0.79313 5.95411 7.23023 9.60704 12.08967 12.62533 15.05012 18.62550 19.64762 19.86591 20.05596 21.48934 24.26453
0.80479 5.99719 7.32109 9.63859 12.21844 12.61754 15.09572 18.63960 19.64719 19.85664 20.05835 21.48194 24.19400
0.81646 6.03874 7.41078 9.66900 12.34514 12.60577 15.14236 18.65382 19.64674 19.84864 20.06082 21.47425 24.12269
0.82812 6.07876 7.49924 9.69824 12.46915 12.59109 15.18943 18.66815 19.64628 19.84204 20.06336 21.46636 24.05062
0.83978 6.11727 7.58640 9.72633 12.56252 12.60187 15.23633 18.68257 19.64580 19.83693 20.06596 21.45839 23.97784
0.85145 6.15427 7.67219 9.75326 12.54682 12.71691 15.28250 18.69707 19.64532 19.83341 20.06861 21.45044 23.90437
0.86311 6.18977 7.75653 9.77902 12.52320 12.83544 15.32741 18.71163 19.64485 19.83155 20.07130 21.44266 23.83026
0.87477 6.22379 7.83934 9.80362 12.49708 12.95235 15.37056 18.72625 19.64437 19.83140 20.07402 21.43517 23.75556
0.88644 6.25633 7.92053 9.82707 12.46909 13.06732 15.41151 18.74091 19.64391 19.83299 20.07674 21.42812 23.68032
0.89810 6.28741 8.00000 9.84938 12.43960 13.18024 15.44983 18.75560 19.64347 19.83635 20.07947 21.42169 23.60460
0.90976 6.31703 8.07765 9.87054 12.40892 13.29105 15.48516 18.77030 19.64304 19.84144 20.08218 21.41603 23.52848
0.92143 6.34520 8.15337 9.89057 12.37734 13.39969 15.51718 18.78500 19.64263 19.84823 20.08487 21.41134 23.45202
0.93309 6.37193 8.22704 9.90948 12.34511 13.50611 15.54560 18.79967 19.64225 19.85663 20.08752 21.40781 23.37533
0.94475 6.39724 8.29854 9.92729 12.31249 13.61025 15.57020 18.81428 19.64189 19.86653 20.09012 21.40565 23.29849
0.95642 6.42113 8.36772 9.94401 12.27970 13.71203 15.59078 18.82879 19.64156 19.87779 20.09266 21.40506 23.22162
0.96808 6.44360 8.43444 9.95965 12.24700 13.81138 15.60721 18.84314 19.64125 19.89023 20.09513 21.40627 23.14484
0.97975 6.46468 8.49854 9.97423 12.21460 13.90821 15.61941 18.85729 19.64097 19.90364 20.09751 21.40947 23.06830
0.99141 6.48436 8.55986 9.98777 12.18275 14.00240 15.62734 18.87116 19.64072 19.91779 20.09979 21.41489 22.99216
1.00307 6.50265 8.61821 10.00028 12.15166 14.09383 15.63104 18.88467 19.64049 19.93244 20.10197 21.42269 22.91661
1.01474 6.51957 8.67342 10.01178 12.12157 14.18235 15.63057 18.89774 19.64029 19.94730 20.10403 21.43304 22.84186
1.02640 6.53511 8.72528 10.02228 12.09271 14.26777 15.62608 18.91028 19.64011 19.96212 20.10596 21.44606 22.76817
1.03806 6.54928 8.77359 10.03181 12.06532 14.34985 15.61778 18.92218 19.63995 19.97660 20.10775 21.46179 22.69584
1.04973 6.56208 8.81815 10.04037 12.03963 14.42830 15.60596 18.93334 19.63982 19.99051 20.10940 21.48020 22.62525
1.06139 6.57353 8.85874 10.04799 12.01587 14.50274 15.59102 18.94366 19.63970 20.00357 20.11090 21.50114 22.55683
1.07305 6.58362 8.89517 10.05468 11.99426 14.57268 15.57345 18.95305 19.63961 20.01558 20.11224 21.52432 22.49118
1.08472 6.59236 8.92722 10.06045 11.97502 14.63747 15.55396 18.96140 19.63953 20.02634 20.11341 21.54921 22.42904
1.09638 6.59975 8.95472 10.06530 11.95836 14.69626 15.53342 18.96863 19.63946 20.03568 20.11441 21.57504 22.37139
1.10805 6.60579 8.97748 10.06927 11.94445 14.74791 15.51302 18.97466 19.63941 20.04349 20.11524 21.60064 22.31956
1.11971 6.61048 8.99535 10.07234 11.93345 14.79097 15.49421 18.97943 19.63937 20.04965 20.11589 21.62435 22.27533
1.13137 6.61384 9.00821 10.07453 11.92550 14.82371 15.47878 18.98287 19.63934 20.05410 20.11635 21.64404 22.24092
1.14304 6.61585 9.01596 10.07584 11.92068 14.84433 15.46853 18.98495 19.63933 20.05679 20.11663 21.65728 22.21883
1.15470 6.61652 9.01855 10.07628 11.91907 14.85139 15.46492 18.98565 19.63932 20.05769 20.11672 21.66197 22.21118
