# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"Frequency (THz)" "kappa spec xx (W/mK/THz)" "kappa spec yy (W/mK/THz)" "kappa spec zz (W/mK/THz)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
1.85871 31.81147 31.81147 28.80499 33.24768 33.24768 33.36411
1.88869 32.56930 32.56930 29.42616 34.22408 34.22408 34.24628
1.91867 33.32482 33.32482 30.13311 35.22313 35.22313 35.14965
1.94865 34.08882 34.08882 30.91992 36.24509 36.24509 36.07660
1.97863 34.82763 34.82763 31.73589 37.28920 37.28920 37.02802
2.00861 35.52328 35.52328 32.54315 38.35416 38.35416 38.00364
2.03859 36.25735 36.25735 33.27595 39.44112 39.44112 39.00123
2.06857 36.90306 36.90306 33.85652 40.54745 40.54745 40.01622
2.09855 37.45771 37.45771 34.32918 41.67041 41.67041 41.04539
2.12853 37.90769 37.90769 34.71001 42.80685 42.80685 42.08597
2.15851 38.27868 38.27868 34.98750 43.95441 43.95441 43.13486
2.18848 38.56838 38.56838 35.13741 45.11067 45.11067 44.18826
2.21846 38.73887 38.73887 35.18201 46.27203 46.27203 45.24299
2.24844 38.78093 38.78093 35.09391 47.43465 47.43465 46.29508
2.27842 38.71272 38.71272 34.89908 48.59523 48.59523 47.34132
2.30840 38.54583 38.54583 34.64807 49.75080 49.75080 48.38005
2.33838 38.30490 38.30490 34.38525 50.89916 50.89916 49.41089
2.36836 37.97901 37.97901 34.05002 52.03774 52.03774 50.43168
2.39834 37.61632 37.61632 33.68233 53.16545 53.16545 51.44146
2.42832 37.23833 37.23833 33.29930 54.28182 54.28182 52.43974
2.45830 36.85543 36.85543 32.92995 55.38672 55.38672 53.42696
2.48828 36.46876 36.46876 32.58915 56.48003 56.48003 54.40396
2.51826 36.11398 36.11398 32.27453 57.56270 57.56270 55.37152
2.54824 35.77125 35.77125 31.97402 58.63509 58.63509 56.33008
2.57822 35.44776 35.44776 31.69179 59.69779 59.69779 57.28018
2.60819 35.15605 35.15605 31.43148 60.75174 60.75174 58.22247
2.63817 34.89377 34.89377 31.20025 61.79783 61.79783 59.15783
2.66815 34.67275 34.67275 31.00518 62.83729 62.83729 60.08734
2.69813 34.49857 34.49857 30.86832 63.87153 63.87153 61.01275
2.72811 34.34419 34.34419 30.76665 64.90115 64.90115 61.93511
2.75809 34.23041 34.23041 30.71485 65.92735 65.92735 62.85592
2.78807 34.14889 34.14889 30.70331 66.95111 66.95111 63.77638
2.81805 34.08925 34.08925 30.72282 67.97308 67.97308 64.69743
2.84803 34.04725 34.04725 30.75558 68.99379 68.99379 65.61946
2.87801 34.04652 34.04652 30.77753 70.01448 70.01448 66.54214
2.90799 34.03638 34.03638 30.79804 71.03486 71.03486 67.46544
2.93797 34.01927 34.01927 30.81182 72.05473 72.05473 68.38916
2.96795 34.01230 34.01230 30.80441 73.07440 73.07440 69.31265
2.99792 33.99662 33.99662 30.77232 74.09359 74.09359 70.23518
3.02790 33.98885 33.98885 30.72319 75.11255 75.11255 71.15624
3.05788 33.98821 33.98821 30.65754 76.13149 76.13149 72.07533
3.08786 33.98871 33.98871 30.56628 77.15045 77.15045 72.99169
3.11784 33.97751 33.97751 30.46354 78.16907 78.16907 73.90496
3.14782 33.95652 33.95652 30.35423 79.18706 79.18706 74.81496
3.17780 33.93364 33.93364 30.24669 80.20436 80.20436 75.72173
3.20778 33.90826 33.90826 30.14646 81.22091 81.22091 76.62550
3.23776 33.90963 33.90963 30.05399 82.23749 82.23749 77.52649
3.26774 33.88387 33.88387 29.96773 83.25331 83.25331 78.42490
3.29772 33.83524 33.83524 29.88181 84.26766 84.26766 79.32074
3.32770 33.79972 33.79972 29.80168 85.28095 85.28095 80.21417
3.35768 33.77980 33.77980 29.72763 86.29364 86.29364 81.10538
3.38765 33.73764 33.73764 29.65552 87.30507 87.30507 81.99443
3.41763 33.67646 33.67646 29.59718 88.31467 88.31467 82.88173
3.44761 33.61095 33.61095 29.55585 89.32230 89.32230 83.76780
3.47759 33.54527 33.54527 29.51392 90.32796 90.32796 84.65260
3.50757 33.47489 33.47489 29.46098 91.33151 91.33151 85.53582
3.53755 33.38503 33.38503 29.39700 92.33237 92.33237 86.41712
3.56753 33.30224 33.30224 29.32519 93.33075 93.33075 87.29627
3.59751 33.22725 33.22725 29.24543 94.32688 94.32688 88.17302
3.62749 33.13789 33.13789 29.15313 95.32032 95.32032 89.04701
3.65747 33.02408 33.02408 29.05533 96.31036 96.31036 89.91807
3.68745 32.88618 32.88618 28.95400 97.29626 97.29626 90.78609
3.71743 32.75993 32.75993 28.85483 98.27838 98.27838 91.65113
3.74741 32.63137 32.63137 28.75986 99.25665 99.25665 92.51333
3.77738 32.47136 32.47136 28.65526 100.23011 100.23011 93.37239
3.80736 32.28030 32.28030 28.54108 101.19785 101.19785 94.22803
3.83734 32.07549 32.07549 28.41592 102.15945 102.15945 95.07992
3.86732 31.85817 31.85817 28.27750 103.11454 103.11454 95.92766
3.89730 31.62831 31.62831 28.12486 104.06273 104.06273 96.77082
3.92728 31.42387 31.42387 27.96091 105.00479 105.00479 97.60907
3.95726 31.19468 31.19468 27.78766 105.93999 105.93999 98.44212
3.98724 30.94384 30.94384 27.60953 106.86766 106.86766 99.26984
4.01722 30.68883 30.68883 27.43178 107.78769 107.78769 100.09222
4.04720 30.43566 30.43566 27.25355 108.70012 108.70012 100.90926
4.07718 30.19869 30.19869 27.07667 109.60546 109.60546 101.72100
4.10716 29.97310 29.97310 26.90154 110.50403 110.50403 102.52749
4.13714 29.75535 29.75535 26.72689 111.39607 111.39607 103.32874
4.16712 29.54624 29.54624 26.55077 112.28185 112.28185 104.12471
4.19709 29.33513 29.33513 26.37701 113.16129 113.16129 104.91547
4.22707 29.12852 29.12852 26.21087 114.03454 114.03454 105.70125
4.25705 28.94996 28.94996 26.04932 114.90244 114.90244 106.48219
4.28703 28.77671 28.77671 25.88684 115.76514 115.76514 107.25826
4.31701 28.60245 28.60245 25.73187 116.62262 116.62262 108.02968
4.34699 28.39701 28.39701 25.57689 117.47395 117.47395 108.79646
4.37697 28.21452 28.21452 25.42232 118.31979 118.31979 109.55860
4.40695 28.04487 28.04487 25.26434 119.16056 119.16056 110.31601
4.43693 27.88729 27.88729 25.10123 119.99660 119.99660 111.06852
4.46691 27.71381 27.71381 24.93378 120.82744 120.82744 111.81602
4.49689 27.53435 27.53435 24.76477 121.65290 121.65290 112.55845
4.52687 27.35436 27.35436 24.59575 122.47296 122.47296 113.29581
4.55685 27.18140 27.18140 24.43027 123.28784 123.28784 114.02821
4.58682 27.01726 27.01726 24.27606 124.09779 124.09779 114.75599
4.61680 26.85398 26.85398 24.12486 124.90286 124.90286 115.47924
4.64678 26.68623 26.68623 23.97489 125.70289 125.70289 116.19798
4.67676 26.51928 26.51928 23.82375 126.49792 126.49792 116.91220
4.70674 26.34896 26.34896 23.67344 127.28784 127.28784 117.62191
4.73672 26.18748 26.18748 23.52234 128.07292 128.07292 118.32710
4.76670 26.02507 26.02507 23.36516 128.85313 128.85313 119.02757
4.79668 25.86746 25.86746 23.20165 129.62862 129.62862 119.72313
4.82666 25.71546 25.71546 23.04164 130.39955 130.39955 120.41390
4.85664 25.55685 25.55685 22.88867 131.16572 131.16572 121.10009
4.88662 25.40454 25.40454 22.73476 131.92733 131.92733 121.78166
4.91660 25.26218 25.26218 22.58012 132.68467 132.68467 122.45860
4.94658 25.12958 25.12958 22.43005 133.43804 133.43804 123.13103
4.97655 25.00637 25.00637 22.28835 134.18771 134.18771 123.79922
5.00653 24.87431 24.87431 22.15730 134.93343 134.93343 124.46348
5.03651 24.72604 24.72604 22.03811 135.67469 135.67469 125.12416
5.06649 24.61169 24.61169 22.47545 136.41253 136.41253 125.79796
5.09647 24.50819 24.50819 22.28705 137.14727 137.14727 126.46611
5.12645 24.41889 24.41889 22.00949 137.87933 137.87933 127.12594
5.15643 24.33470 24.33470 21.82366 138.60887 138.60887 127.78020
5.18641 24.26315 24.26315 21.58887 139.33626 139.33626 128.42741
5.21639 24.20151 24.20151 21.39110 140.06180 140.06180 129.06870
5.24637 24.15464 24.15464 21.22819 140.78594 140.78594 129.70511
5.27635 24.11845 24.11845 21.16071 141.50899 141.50899 130.33949
5.30633 24.10531 24.10531 21.78387 142.23165 142.23165 130.99255
5.33631 24.07519 24.07519 21.87490 142.95341 142.95341 131.64835
5.36628 24.06648 24.06648 21.90912 143.67490 143.67490 132.30517
5.39626 24.11098 24.11098 22.07687 144.39773 144.39773 132.96701
5.42624 24.11368 24.11368 22.05633 145.12064 145.12064 133.62825
5.45622 24.12085 24.12085 22.15212 145.84377 145.84377 134.29235
5.48620 24.14741 24.14741 22.24205 146.56769 146.56769 134.95915
5.51618 24.19627 24.19627 22.38542 147.29307 147.29307 135.63025
5.54616 24.25615 24.25615 22.49273 148.02025 148.02025 136.30456
5.57614 24.31089 24.31089 22.59343 148.74908 148.74908 136.98190
5.60612 24.37423 24.37423 22.73449 149.47980 149.47980 137.66346
5.63610 24.40839 24.40839 22.85538 150.21154 150.21154 138.34865
5.66608 24.43777 24.43777 22.97673 150.94417 150.94417 139.03747
5.69606 24.46106 24.46106 23.10172 151.67749 151.67749 139.73004
5.72604 24.49658 24.49658 23.19571 152.41188 152.41188 140.42543
5.75602 24.53784 24.53784 23.28581 153.14751 153.14751 141.12353
5.78599 24.59728 24.59728 23.40299 153.88492 153.88492 141.82513
5.81597 24.66380 24.66380 23.51824 154.62432 154.62432 142.53019
5.84595 24.73675 24.73675 23.64859 155.36591 155.36591 143.23916
5.87593 24.78998 24.78998 23.75033 156.10909 156.10909 143.95117
5.90591 24.85256 24.85256 23.88516 156.85415 156.85415 144.66723
5.93589 24.90616 24.90616 23.98653 157.60082 157.60082 145.38633
5.96587 24.95833 24.95833 24.05004 158.34905 158.34905 146.10733
5.99585 25.00860 25.00860 24.11542 159.09879 159.09879 146.83029
6.02583 25.06234 25.06234 24.16232 159.85014 159.85014 147.55466
6.05581 25.12441 25.12441 24.19841 160.60335 160.60335 148.28011
6.08579 25.19266 25.19266 24.22186 161.35861 161.35861 149.00626
6.11577 25.28526 25.28526 24.22659 162.11664 162.11664 149.73256
6.14575 25.36361 25.36361 24.20881 162.87702 162.87702 150.45832
6.17572 25.43029 25.43029 24.16045 163.63941 163.63941 151.18263
6.20570 25.50701 25.50701 24.12566 164.40409 164.40409 151.90590
6.23568 25.58250 25.58250 24.08836 165.17103 165.17103 152.62805
6.26566 25.64891 25.64891 24.04520 165.93997 165.93997 153.34891
6.29564 25.71716 25.71716 23.98986 166.71095 166.71095 154.06811
6.32562 25.78317 25.78317 23.92779 167.48391 167.48391 154.78544
6.35560 25.85445 25.85445 23.86951 168.25900 168.25900 155.50103
6.38558 25.92193 25.92193 23.77815 169.03612 169.03612 156.21389
6.41556 25.98441 25.98441 23.66827 169.81512 169.81512 156.92344
6.44554 26.07764 26.07764 23.61037 170.59690 170.59690 157.63126
6.47552 26.18255 26.18255 23.63922 171.38184 171.38184 158.33995
6.50550 26.29389 26.29389 24.66363 172.17011 172.17011 159.07935
6.53548 26.42468 26.42468 25.21741 172.96230 172.96230 159.83535
6.56545 26.53676 26.53676 25.78320 173.75785 173.75785 160.60831
6.59543 26.64804 26.64804 25.77420 174.55674 174.55674 161.38100
6.62541 26.80318 26.80318 25.56632 175.36028 175.36028 162.14746
6.65539 26.96405 26.96405 25.48847 176.16864 176.16864 162.91158
6.68537 27.14038 27.14038 25.35728 176.98229 176.98229 163.67177
6.71535 27.31440 27.31440 25.12725 177.80115 177.80115 164.42507
6.74533 27.48498 27.48498 24.99953 178.62513 178.62513 165.17454
6.77531 27.63408 27.63408 24.92181 179.45358 179.45358 165.92167
6.80529 27.78686 27.78686 24.86090 180.28661 180.28661 166.66698
6.83527 27.92625 27.92625 24.71413 181.12382 181.12382 167.40790
6.86525 28.07232 28.07232 24.58477 181.96541 181.96541 168.14493
6.89523 28.20655 28.20655 24.46249 182.81102 182.81102 168.87830
6.92521 28.30018 28.30018 24.36102 183.65944 183.65944 169.60862
6.95519 28.39251 28.39251 24.25848 184.51062 184.51062 170.33587
6.98516 28.47070 28.47070 24.13316 185.36415 185.36415 171.05937
7.01514 28.53804 28.53808 23.98533 186.21970 186.21970 171.77843
7.04512 28.62664 28.62664 23.86474 187.07791 187.07791 172.49387
7.07510 28.77544 28.77544 23.74449 187.94057 187.94057 173.20572
7.10508 28.87357 28.87357 23.63322 188.80618 188.80618 173.91422
7.13506 28.89813 28.89813 23.54652 189.67252 189.67252 174.62013
7.16504 28.91177 28.91177 23.55816 190.53928 190.53928 175.32639
7.19502 28.90600 28.90600 23.60550 191.40586 191.40586 176.03406
7.22500 28.90463 28.90463 23.77241 192.27240 192.27240 176.74674
7.25498 28.90633 28.90633 24.03646 193.13899 193.13899 177.46733
7.28496 28.88395 28.88395 24.36152 194.00490 194.00491 178.19767
7.31494 28.83728 28.83728 24.75329 194.86942 194.86943 178.93976
7.34492 28.74208 28.74208 24.92941 195.73109 195.73109 179.68712
7.37489 28.63104 28.63104 25.10550 196.58943 196.58943 180.43977
7.40487 28.46322 28.46322 25.23206 197.44273 197.44273 181.19621
7.43485 28.30241 28.30241 25.34207 198.29122 198.29122 181.95594
7.46483 28.15968 28.15968 25.46365 199.13542 199.13543 182.71932
7.49481 27.98536 27.98536 25.61395 199.97440 199.97441 183.48721
7.52479 27.79666 27.79666 25.62673 200.80773 200.80773 184.25548
7.55477 27.58388 27.58388 25.77410 201.63467 201.63467 185.02817
7.58475 27.40486 27.40486 27.17123 202.45625 202.45625 185.84274
7.61473 27.24648 27.24648 25.35517 203.27308 203.27308 186.60287
7.64471 27.09895 27.09895 23.91338 204.08548 204.08548 187.31978
7.67469 26.94497 26.94497 23.30345 204.89327 204.89327 188.01840
7.70467 26.82329 26.82329 23.14501 205.69742 205.69742 188.71227
7.73465 26.74350 26.74350 23.16766 206.49917 206.49917 189.40681
7.76462 26.67592 26.67592 23.43788 207.29889 207.29889 190.10946
7.79460 26.53609 26.53609 23.85907 208.09442 208.09442 190.82474
7.82458 26.37301 26.37301 24.49064 208.88506 208.88507 191.55895
7.85456 26.19455 26.19455 25.83517 209.67036 209.67036 192.33347
7.88454 26.02507 26.02507 29.08359 210.45057 210.45057 193.20538
7.91452 25.88614 25.88614 25.48320 211.22662 211.22662 193.96934
7.94450 25.75752 25.75752 24.51106 211.99881 211.99881 194.70417
7.97448 25.57723 25.57723 24.10658 212.76559 212.76559 195.42686
8.00446 25.43023 25.43023 24.05678 213.52797 213.52797 196.14807
8.03444 25.28746 25.28746 24.16058 214.28607 214.28607 196.87238
8.06442 25.12728 25.12728 24.05601 215.03937 215.03937 197.59356
8.09440 24.89205 24.89205 23.98733 215.78561 215.78561 198.31269
8.12438 24.65876 24.65876 23.95867 216.52486 216.52487 199.03095
8.15435 24.35138 24.35138 24.04120 217.25490 217.25490 199.75169
8.18433 24.10361 24.10361 23.71431 217.97751 217.97751 200.46262
8.21431 23.91464 23.91464 23.44482 218.69445 218.69445 201.16548
8.24429 23.71324 23.71324 23.61580 219.40536 219.40536 201.87346
8.27427 23.47581 23.47581 24.56166 220.10914 220.10914 202.60980
8.30425 23.21383 23.21383 23.11412 220.80508 220.80508 203.30275
8.33423 22.97383 22.97383 22.18531 221.49381 221.49382 203.96785
8.36421 22.80438 22.80438 22.22011 222.17747 222.17747 204.63399
8.39419 22.53556 22.53556 21.60932 222.85307 222.85307 205.28182
8.42417 22.24742 22.24742 21.19400 223.52003 223.52003 205.91720
8.45415 21.93541 21.93541 20.89215 224.17764 224.17764 206.54353
8.48413 21.68714 21.68714 21.20220 224.82780 224.82780 207.17916
8.51411 21.52969 21.52969 21.65792 225.47325 225.47325 207.82845
8.54409 21.32499 21.32499 21.27058 226.11255 226.11256 208.46612
8.57406 21.08392 21.08392 20.96550 226.74463 226.74464 209.09465
8.60404 20.77010 20.77010 20.69145 227.36731 227.36731 209.71497
8.63402 20.57190 20.57190 20.84929 227.98404 227.98404 210.34001
8.66400 20.38630 20.38630 20.84706 228.59520 228.59520 210.96499
8.69398 20.13003 20.13003 20.66596 229.19869 229.19869 211.58454
8.72396 19.78032 19.78032 20.26022 229.79168 229.79169 212.19193
8.75394 19.51934 19.51934 19.83586 230.37686 230.37686 212.78659
8.78392 19.35606 19.35606 19.69949 230.95714 230.95714 213.37717
8.81390 19.12743 19.12743 19.67141 231.53057 231.53057 213.96690
8.84388 18.84324 18.84324 19.58228 232.09547 232.09547 214.55396
8.87386 18.67522 18.67522 19.38384 232.65534 232.65534 215.13508
8.90384 18.51801 18.51801 19.41650 233.21050 233.21050 215.71717
8.93382 18.35590 18.35590 19.06376 233.76079 233.76079 216.28868
8.96379 18.20763 18.20763 18.75027 234.30664 234.30664 216.85080
8.99377 17.84271 17.84271 18.38358 234.84155 234.84156 217.40193
9.02375 17.59651 17.59651 18.12357 235.36908 235.36909 217.94526
9.05373 17.41918 17.41918 17.93744 235.89130 235.89130 218.48301
9.08371 17.25514 17.25514 17.73070 236.40859 236.40860 219.01456
9.11369 17.15137 17.15137 17.67266 236.92278 236.92278 219.54438
9.14367 16.92584 16.92584 17.40834 237.43020 237.43020 220.06627
9.17365 16.63634 16.63634 17.08805 237.92895 237.92895 220.57855
9.20363 16.44224 16.44224 16.83908 238.42187 238.42188 221.08338
9.23361 16.30498 16.30498 16.66760 238.91069 238.91069 221.58306
9.26359 16.21228 16.21228 16.55242 239.39672 239.39672 222.07929
9.29357 16.08139 16.08139 16.34311 239.87883 239.87883 222.56924
9.32355 15.84523 15.84523 16.12629 240.35385 240.35385 223.05270
9.35352 15.64749 15.64749 16.05841 240.82295 240.82295 223.53411
9.38350 15.44312 15.44312 15.74726 241.28593 241.28593 224.00621
9.41348 15.24244 15.24244 15.44145 241.74288 241.74288 224.46913
9.44346 15.07076 15.07076 15.17346 242.19469 242.19469 224.92402
9.47344 15.02153 15.02153 15.08794 242.64503 242.64503 225.37634
9.50342 14.79337 14.79337 14.94888 243.08852 243.08852 225.82450
9.53340 14.60147 14.60147 14.78736 243.52626 243.52626 226.26781
9.56338 14.37471 14.37471 14.67695 243.95721 243.95721 226.70782
9.59336 14.22214 14.22214 14.45303 244.38357 244.38358 227.14111
9.62334 14.06059 14.06059 14.17711 244.80510 244.80510 227.56613
9.65332 13.90442 13.90442 13.90772 245.22194 245.22195 227.98307
9.68330 13.77203 13.77206 13.80302 245.63482 245.63482 228.39687
9.71328 13.61685 13.61685 13.66776 246.04304 246.04304 228.80662
9.74325 13.43803 13.43803 13.49847 246.44590 246.44591 229.21130
9.77323 13.27372 13.27372 13.44387 246.84384 246.84384 229.61433
9.80321 13.08108 13.08108 13.17528 247.23600 247.23600 230.00932
9.83319 12.95426 12.95426 12.92764 247.62436 247.62436 230.39688
9.86317 12.84495 12.84495 12.70225 248.00944 248.00944 230.77768
9.89315 12.73358 12.73358 12.57330 248.39119 248.39119 231.15462
9.92313 12.61249 12.61249 12.44508 248.76930 248.76930 231.52772
9.95311 12.48033 12.48033 12.36649 249.14345 249.14345 231.89845
9.98309 12.34251 12.34251 12.37516 249.51347 249.51347 232.26945
10.01307 12.22536 12.22536 12.10367 249.87998 249.87998 232.63231
10.04305 12.11538 12.11538 20.92574 250.24319 250.24319 233.25965
10.07303 11.97982 11.97982 12.58404 250.60233 250.60233 233.63691
10.10301 11.84209 11.84209 11.94887 250.95735 250.95735 233.99513
10.13299 11.72011 11.72011 11.63635 251.30871 251.30871 234.34398
10.16296 11.53478 11.53478 11.41960 251.65451 251.65451 234.68633
10.19294 11.43094 11.43094 11.24935 251.99720 251.99720 235.02357
10.22292 11.30235 11.30235 10.92276 252.33604 252.33604 235.35103
10.25290 11.16209 11.16209 10.66641 252.67067 252.67067 235.67080
10.28288 11.04614 11.04614 10.49786 253.00183 253.00183 235.98552
10.31286 10.90875 10.90875 10.32554 253.32886 253.32886 236.29507
10.34284 10.76141 10.76141 10.23498 253.65148 253.65148 236.60191
10.37282 10.63509 10.63509 10.07911 253.97031 253.97031 236.90407
10.40280 10.47762 10.47762 9.87193 254.28442 254.28443 237.20002
10.43278 10.32878 10.32878 9.74598 254.59407 254.59407 237.49220
10.46276 10.22364 10.22364 9.70855 254.90057 254.90057 237.78326
10.49274 10.06983 10.06983 9.54634 255.20246 255.20246 238.06945
10.52272 9.93711 9.93711 9.43880 255.50036 255.50036 238.35242
10.55269 9.79708 9.79708 9.35384 255.79407 255.79407 238.63284
10.58267 9.66529 9.66529 9.26241 256.08383 256.08383 238.91052
10.61265 9.54444 9.54444 10.57655 256.36996 256.36997 239.22759
10.64263 9.44790 9.44790 10.24922 256.65321 256.65321 239.53486
10.67261 9.31941 9.31941 10.08561 256.93259 256.93260 239.83722
10.70259 9.20167 9.20167 9.86723 257.20845 257.20846 240.13303
10.73257 9.06130 9.06130 9.73373 257.48010 257.48011 240.42484
10.76255 8.91307 8.91307 9.58250 257.74731 257.74731 240.71212
10.79253 8.75172 8.75172 9.40747 258.00968 258.00968 240.99414
10.82251 8.58467 8.58467 9.24990 258.26704 258.26705 241.27145
10.85249 8.44621 8.44621 9.13585 258.52025 258.52026 241.54534
10.88247 8.30691 8.30691 8.96834 258.76929 258.76929 241.81420
10.91245 8.14820 8.14820 8.78184 259.01357 259.01357 242.07747
10.94242 8.01368 8.01368 8.63421 259.25381 259.25381 242.33632
10.97240 7.86551 7.86551 8.47350 259.48961 259.48961 242.59035
11.00238 7.72138 7.72138 8.33710 259.72109 259.72110 242.84029
11.03236 7.57284 7.57284 8.18276 259.94812 259.94812 243.08560
11.06234 7.44058 7.44058 8.08776 260.17118 260.17119 243.32807
11.09232 7.27513 7.27513 7.90093 260.38929 260.38929 243.56493
11.12230 7.13047 7.13047 7.74132 260.60305 260.60306 243.79701
11.15228 6.97729 6.97729 7.53651 260.81223 260.81223 244.02295
11.18226 6.85581 6.85581 7.37567 261.01776 261.01776 244.24407
11.21224 6.76074 6.76074 7.24638 261.22044 261.22044 244.46131
11.24222 6.60927 6.60927 7.07586 261.41858 261.41858 244.67344
11.27220 6.48549 6.48549 6.91618 261.61301 261.61301 244.88078
11.30218 6.36720 6.36720 6.76111 261.80390 261.80390 245.08347
11.33215 6.24005 6.24005 6.60240 261.99097 261.99097 245.28141
11.36213 6.12320 6.12320 6.45046 262.17454 262.17454 245.47479
11.39211 5.99755 5.99755 6.26363 262.35434 262.35434 245.66256
11.42209 5.87903 5.87903 6.13681 262.53059 262.53059 245.84654
11.45207 5.75978 5.75978 5.96042 262.70326 262.70326 246.02523
11.48205 5.65965 5.65965 5.84144 262.87293 262.87294 246.20035
11.51203 5.58006 5.58006 5.71202 263.04022 263.04022 246.37159
11.54201 5.48593 5.48593 5.59143 263.20468 263.20469 246.53922
11.57199 5.36578 5.36578 5.45774 263.36555 263.36555 246.70284
