# Efermi (eV) : 6.246298
# (SCF 12x12x8 G-cntrd k points)
"kaxis (pi/a or pi/c unit)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.81645 -4.94520 -4.50560 -3.72370 -2.11550 -1.20710 -0.78520 5.83470 6.17350 7.70380 9.98940 10.95300 11.59370
0.82812 -4.99400 -4.46300 -3.76520 -2.12810 -1.24090 -0.79220 5.81540 6.12740 7.71590 9.98450 10.92830 11.62680
0.83978 -5.04150 -4.42040 -3.80560 -2.14040 -1.27510 -0.79900 5.79580 6.08290 7.72790 9.97970 10.90450 11.65640
0.85145 -5.08750 -4.37800 -3.84460 -2.15230 -1.30960 -0.80570 5.77620 6.03970 7.73960 9.97510 10.88140 11.68210
0.86311 -5.13200 -4.33570 -3.88230 -2.16370 -1.34450 -0.81210 5.75660 5.99810 7.75100 9.97090 10.85930 11.70390
0.87477 -5.17510 -4.29400 -3.91850 -2.17480 -1.37950 -0.81830 5.73720 5.95800 7.76210 9.96700 10.83790 11.72250
0.88644 -5.21660 -4.25300 -3.95280 -2.18540 -1.41480 -0.82440 5.71800 5.91940 7.77270 9.96360 10.81740 11.73840
0.89810 -5.25650 -4.21340 -3.98460 -2.19570 -1.45010 -0.83020 5.69920 5.88240 7.78280 9.96060 10.79780 11.75230
0.90976 -5.29480 -4.17680 -4.01250 -2.20550 -1.48550 -0.83580 5.68080 5.84700 7.79230 9.95810 10.77900 11.76480
0.92143 -5.33160 -4.14760 -4.03210 -2.21490 -1.52090 -0.84120 5.66290 5.81310 7.80140 9.95610 10.76100 11.77620
0.93309 -5.36660 -4.13620 -4.03300 -2.22390 -1.55610 -0.84640 5.64550 5.78090 7.80980 9.95450 10.74390 11.78670
0.94475 -5.40000 -4.14620 -4.01160 -2.23240 -1.59110 -0.85140 5.62880 5.75020 7.81770 9.95330 10.72770 11.79670
0.95642 -5.43180 -4.16630 -3.97950 -2.24050 -1.62580 -0.85610 5.61270 5.72120 7.82500 9.95260 10.71240 11.80610
0.96808 -5.46180 -4.18900 -3.94400 -2.24820 -1.66000 -0.86050 5.59740 5.69380 7.83170 9.95220 10.69790 11.81510
0.97975 -5.49010 -4.21200 -3.90780 -2.25540 -1.69360 -0.86470 5.58280 5.66810 7.83780 9.95210 10.68420 11.82360
0.99141 -5.51660 -4.23430 -3.87180 -2.26210 -1.72650 -0.86870 5.56890 5.64390 7.84350 9.95230 10.67150 11.83180
1.00307 -5.54140 -4.25560 -3.83660 -2.26840 -1.75860 -0.87240 5.55600 5.62150 7.84860 9.95270 10.65960 11.83960
1.01474 -5.56440 -4.27560 -3.80240 -2.27430 -1.78950 -0.87590 5.54380 5.60070 7.85320 9.95340 10.64860 11.84700
1.02640 -5.58560 -4.29420 -3.76970 -2.27970 -1.81920 -0.87900 5.53260 5.58150 7.85730 9.95410 10.63850 11.85400
1.03806 -5.60500 -4.31140 -3.73860 -2.28460 -1.84750 -0.88200 5.52220 5.56400 7.86100 9.95500 10.62920 11.86050
1.04973 -5.62260 -4.32700 -3.70940 -2.28910 -1.87400 -0.88460 5.51280 5.54810 7.86420 9.95600 10.62080 11.86650
1.06139 -5.63830 -4.34110 -3.68240 -2.29310 -1.89870 -0.88700 5.50440 5.53390 7.86710 9.95700 10.61340 11.87200
1.07306 -5.65230 -4.35360 -3.65770 -2.29660 -1.92130 -0.88910 5.49690 5.52140 7.86950 9.95790 10.60670 11.87690
1.08472 -5.66430 -4.36440 -3.63570 -2.29970 -1.94150 -0.89090 5.49040 5.51050 7.87160 9.95880 10.60100 11.88130
1.09638 -5.67450 -4.37370 -3.61660 -2.30230 -1.95900 -0.89250 5.48490 5.50120 7.87330 9.95960 10.59610 11.88500
1.10805 -5.68290 -4.38120 -3.60060 -2.30440 -1.97370 -0.89370 5.48050 5.49360 7.87470 9.96040 10.59220 11.88810
1.11971 -5.68940 -4.38710 -3.58790 -2.30610 -1.98540 -0.89470 5.47700 5.48760 7.87580 9.96090 10.58910 11.89060
1.13137 -5.69410 -4.39140 -3.57870 -2.30730 -1.99390 -0.89540 5.47460 5.48330 7.87650 9.96140 10.58690 11.89240
1.14304 -5.69690 -4.39390 -3.57310 -2.30800 -1.99910 -0.89590 5.47320 5.48070 7.87700 9.96160 10.58550 11.89340
1.15470 -5.69780 -4.39470 -3.57130 -2.30820 -2.00080 -0.89600 5.47270 5.47980 7.87710 9.96170 10.58510 11.89380
