# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
0.66667 3.70047 3.70047 6.22330 6.22330 7.11051 13.12501 19.69380 19.69380 19.85711 19.85711 23.29516 25.35874
0.67677 3.74985 3.74985 6.19743 6.19743 7.21241 13.04749 19.69563 19.69563 19.85447 19.85447 23.33260 25.33607
0.68687 3.79894 3.79894 6.17116 6.17116 7.31405 12.96944 19.69749 19.69749 19.85182 19.85182 23.36996 25.31308
0.69697 3.84774 3.84774 6.14450 6.14450 7.41544 12.89086 19.69937 19.69937 19.84915 19.84915 23.40724 25.28978
0.70707 3.89624 3.89624 6.11743 6.11743 7.51656 12.81176 19.70128 19.70128 19.84647 19.84647 23.44442 25.26618
0.71717 3.94444 3.94444 6.08996 6.08996 7.61742 12.73216 19.70323 19.70323 19.84379 19.84379 23.48150 25.24226
0.72727 3.99235 3.99235 6.06210 6.06210 7.71800 12.65205 19.70520 19.70520 19.84109 19.84109 23.51847 25.21803
0.73738 4.03995 4.03995 6.03384 6.03384 7.81831 12.57145 19.70720 19.70720 19.83838 19.83838 23.55532 25.19350
0.74747 4.08724 4.08724 6.00518 6.00518 7.91835 12.49035 19.70923 19.70923 19.83567 19.83567 23.59206 25.16866
0.75758 4.13422 4.13422 5.97612 5.97612 8.01811 12.40877 19.71129 19.71129 19.83294 19.83294 23.62866 25.14352
0.76768 4.18088 4.18088 5.94666 5.94666 8.11758 12.32671 19.71337 19.71337 19.83022 19.83022 23.66513 25.11808
0.77778 4.22723 4.22723 5.91681 5.91681 8.21677 12.24418 19.71548 19.71548 19.82748 19.82748 23.70146 25.09234
0.78788 4.27326 4.27326 5.88656 5.88656 8.31566 12.16119 19.71762 19.71762 19.82475 19.82475 23.73764 25.06630
0.79798 4.31896 4.31896 5.85592 5.85592 8.41427 12.07773 19.71979 19.71979 19.82201 19.82201 23.77367 25.03997
0.80808 4.36434 4.36434 5.82488 5.82488 8.51258 11.99382 19.72198 19.72198 19.81927 19.81927 23.80954 25.01335
0.81818 4.40939 4.40939 5.79344 5.79344 8.61059 11.90947 19.72420 19.72420 19.81652 19.81652 23.84525 24.98643
0.82828 4.45411 4.45411 5.76162 5.76162 8.70829 11.82466 19.72644 19.72644 19.81378 19.81378 23.88078 24.95922
0.83838 4.49850 4.49850 5.72939 5.72939 8.80569 11.73942 19.72871 19.72871 19.81104 19.81104 23.91615 24.93173
0.84848 4.54255 4.54255 5.69678 5.69678 8.90277 11.65374 19.73100 19.73100 19.80830 19.80830 23.95134 24.90395
0.85859 4.58626 4.58626 5.66378 5.66378 8.99955 11.56763 19.73332 19.73332 19.80556 19.80556 23.98634 24.87588
0.86869 4.62963 4.62963 5.63039 5.63039 9.09601 11.48110 19.73566 19.73566 19.80283 19.80283 24.02115 24.84754
0.87879 4.67265 4.67265 5.59660 5.59660 9.19215 11.39415 19.73803 19.73803 19.80010 19.80010 24.05578 24.81892
0.88889 4.71533 4.71533 5.56243 5.56243 9.28796 11.30678 19.74041 19.74041 19.79737 19.79737 24.09020 24.79003
0.89899 4.75766 4.75766 5.52788 5.52788 9.38345 11.21901 19.74282 19.74282 19.79465 19.79465 24.12443 24.76086
0.90909 4.79964 4.79964 5.49293 5.49293 9.47860 11.13082 19.74525 19.74525 19.79194 19.79194 24.15844 24.73142
0.91919 4.84127 4.84127 5.45760 5.45760 9.57343 11.04223 19.74770 19.74770 19.78924 19.78924 24.19225 24.70171
0.92929 4.88254 4.88254 5.42189 5.42189 9.66791 10.95325 19.75017 19.75017 19.78655 19.78655 24.22584 24.67174
0.93939 4.92345 4.92345 5.38580 5.38580 9.76205 10.86387 19.75267 19.75267 19.78386 19.78386 24.25922 24.64150
0.94949 4.96400 4.96400 5.34933 5.34933 9.85585 10.77411 19.75518 19.75518 19.78118 19.78118 24.29238 24.61100
0.95960 5.00419 5.00419 5.31247 5.31247 9.94931 10.68395 19.75771 19.75771 19.77852 19.77852 24.32531 24.58024
0.96970 5.04402 5.04402 5.27524 5.27524 10.04241 10.59342 19.76025 19.76025 19.77587 19.77587 24.35801 24.54924
0.97980 5.08348 5.08348 5.23764 5.23764 10.13515 10.50250 19.76282 19.76282 19.77323 19.77323 24.39048 24.51798
0.98990 5.12258 5.12258 5.19965 5.19965 10.22754 10.41122 19.76540 19.76540 19.77061 19.77061 24.42272 24.48647
1.00000 5.16130 5.16130 5.16130 5.16130 10.31956 10.31956 19.76799 19.76799 19.76799 19.76799 24.45472 24.45472
