# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"k index (irred.)" "branch index" "f (THz)" "lifetime (ps)" "mfp (nm)" multiplicity "modal kappa^{xx} (W/mK)" "modal kappa^{yy} (W/mK)" "modal kappa^{zz} (W/mK)"
10 9 19.88739 5.13509 1.21031 2 0.00000 0.00000 0.00000
10 10 19.88739 5.13509 1.21031 2 0.00000 0.00000 0.00000
10 11 22.84302 5.69835 21.15930 2 0.00000 0.00000 0.00000
10 12 25.60578 1.61058 2.96120 2 0.00000 0.00000 0.00000
11 1 3.39833 1664730.00000 8405050.00000 2 0.00000 0.00000 2.88894
11 2 3.39833 1664730.00000 8405050.00000 2 0.00000 0.00000 2.88894
11 3 6.37011 11067.50000 25407.70000 2 0.00000 0.00000 0.00001
11 4 6.37011 11067.50000 25407.70000 2 0.00000 0.00000 0.00001
11 5 6.49392 3153.15000 32193.70000 2 0.00000 0.00000 0.00005
11 6 13.57847 30.99450 225.84800 2 0.00000 0.00000 0.00000
11 7 19.68347 4.62433 0.74402 2 0.00000 0.00000 0.00000
11 8 19.68347 4.62433 0.74402 2 0.00000 0.00000 0.00000
11 9 19.87261 5.10475 1.27319 2 0.00000 0.00000 0.00000
11 10 19.87261 5.10475 1.27319 2 0.00000 0.00000 0.00000
11 11 23.06933 6.12193 22.79660 2 0.00000 0.00000 0.00000
11 12 25.48808 1.70624 3.46720 2 0.00000 0.00000 0.00000
12 1 3.70046 1181930.00000 5775080.00000 2 0.00000 0.00000 1.10285
12 2 3.70046 1181930.00000 5775080.00000 2 0.00000 0.00000 1.10285
12 3 6.22330 12614.90000 31946.60000 2 0.00000 0.00000 0.00002
12 4 6.22330 12614.90000 31946.60000 2 0.00000 0.00000 0.00002
12 5 7.11051 1975.62000 19887.50000 2 0.00000 0.00000 0.00001
12 6 13.12500 45.49410 346.75600 2 0.00000 0.00000 0.00000
12 7 19.69382 4.67641 0.83571 2 0.00000 0.00000 0.00000
12 8 19.69382 4.67641 0.83571 2 0.00000 0.00000 0.00000
12 9 19.85711 4.93054 1.28076 2 0.00000 0.00000 0.00000
12 10 19.85711 4.93054 1.28076 2 0.00000 0.00000 0.00000
12 11 23.29516 6.35430 23.49620 2 0.00000 0.00000 0.00000
12 12 25.35872 1.99062 4.42176 2 0.00000 0.00000 0.00000
13 1 3.99234 783245.00000 3690170.00000 2 0.00000 0.00000 0.39254
13 2 3.99234 783245.00000 3690170.00000 2 0.00000 0.00000 0.39254
13 3 6.06210 15177.30000 42024.10000 2 0.00000 0.00000 0.00004
13 4 6.06210 15177.30000 42024.10000 2 0.00000 0.00000 0.00004
13 5 7.71801 1287.97000 12764.90000 2 0.00000 0.00000 0.00000
13 6 12.65205 63.13120 500.54000 2 0.00000 0.00000 0.00000
13 7 19.70521 4.64676 0.91074 2 0.00000 0.00000 0.00000
13 8 19.70521 4.64676 0.91074 2 0.00000 0.00000 0.00000
13 9 19.84107 4.88707 1.30324 2 0.00000 0.00000 0.00000
13 10 19.84107 4.88707 1.30324 2 0.00000 0.00000 0.00000
13 11 23.51848 6.37144 23.20560 2 0.00000 0.00000 0.00000
13 12 25.21803 2.25027 5.41284 2 0.00000 0.00000 0.00000
14 1 4.27324 519820.00000 2352440.00000 2 0.00000 0.00000 0.14033
14 2 4.27324 519820.00000 2352440.00000 2 0.00000 0.00000 0.14033
14 3 5.88657 17702.00000 53177.80000 2 0.00000 0.00000 0.00008
14 4 5.88657 17702.00000 53177.80000 2 0.00000 0.00000 0.00008
14 5 8.31567 879.60800 8570.34000 2 0.00000 0.00000 0.00000
14 6 12.16120 90.79440 745.56300 2 0.00000 0.00000 0.00000
14 7 19.71762 4.56027 0.96849 2 0.00000 0.00000 0.00000
14 8 19.71762 4.56027 0.96849 2 0.00000 0.00000 0.00000
14 9 19.82474 4.64263 1.25419 2 0.00000 0.00000 0.00000
14 10 19.82474 4.64263 1.25419 2 0.00000 0.00000 0.00000
14 11 23.73763 6.22850 22.18850 2 0.00000 0.00000 0.00000
14 12 25.06631 2.60766 6.73713 2 0.00000 0.00000 0.00000
15 1 4.54255 330686.00000 1431710.00000 2 0.00000 0.00000 0.04838
15 2 4.54255 330686.00000 1431710.00000 2 0.00000 0.00000 0.04838
15 3 5.69678 16313.60000 52807.60000 2 0.00000 0.00000 0.00013
15 4 5.69678 16313.60000 52807.60000 2 0.00000 0.00000 0.00013
15 5 8.90279 606.65800 5801.98000 2 0.00000 0.00000 0.00000
15 6 11.65374 124.40200 1054.27000 2 0.00000 0.00000 0.00000
15 7 19.73099 4.77104 1.08522 2 0.00000 0.00000 0.00000
