# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
1.37374 10.39493 10.63726 10.72510 13.24583 13.76413 13.96926 19.23773 19.29299 20.73699 20.80141 20.92869 21.89165
1.39394 10.31240 10.59258 10.80114 13.20095 13.73962 14.03713 19.22220 19.30736 20.71567 20.79262 20.95485 21.89923
1.41414 10.23111 10.52945 10.87377 13.14156 13.72765 14.10786 19.20614 19.32276 20.69508 20.77540 20.98676 21.90872
1.43434 10.15115 10.44845 10.94294 13.06937 13.72797 14.18018 19.18979 19.33944 20.67524 20.75235 21.02148 21.91965
1.45455 10.07253 10.35074 11.00859 12.98587 13.73990 14.25314 19.17337 19.35757 20.65610 20.72471 21.05750 21.93165
1.47475 9.99506 10.23803 11.07061 12.89242 13.76237 14.32608 19.15707 19.37729 20.63753 20.69308 21.09402 21.94442
1.49495 9.91793 10.11282 11.12886 12.79032 13.79411 14.39850 19.14108 19.39864 20.61937 20.65780 21.13056 21.95775
1.51515 9.83830 9.97976 11.18312 12.68089 13.83373 14.47003 19.12554 19.42162 20.60143 20.61914 21.16680 21.97146
1.53536 9.74489 9.85196 11.23303 12.56557 13.87986 14.54037 19.11058 19.44619 20.57734 20.58354 21.20253 21.98542
1.55556 9.61587 9.75301 11.27800 12.44602 13.93119 14.60930 19.09632 19.47222 20.53264 20.56553 21.23756 21.99953
1.57576 9.45806 9.67778 11.31705 12.32430 13.98649 14.67662 19.08284 19.49957 20.48533 20.54726 21.27175 22.01369
1.59596 9.28717 9.61215 11.34850 12.20320 14.04466 14.74214 19.07022 19.52807 20.43572 20.52861 21.30499 22.02785
1.61616 9.10916 9.55171 11.36937 12.08681 14.10472 14.80573 19.05850 19.55752 20.38416 20.50949 21.33718 22.04193
1.63636 8.92673 9.49520 11.37453 11.98138 14.16578 14.86723 19.04773 19.58771 20.33103 20.48986 21.36822 22.05589
1.65657 8.74173 9.44219 11.35644 11.89560 14.22707 14.92649 19.03793 19.61843 20.27675 20.46968 21.39803 22.06965
1.67677 8.55571 9.39249 11.30825 11.83745 14.28788 14.98338 19.02910 19.64945 20.22176 20.44896 21.42655 22.08318
1.69697 8.37012 9.34605 11.23054 11.80751 14.34761 15.03777 19.02123 19.68057 20.16652 20.42774 21.45370 22.09639
1.71717 8.18637 9.30283 11.13182 11.79844 14.40570 15.08951 19.01432 19.71161 20.11154 20.40606 21.47942 22.10924
1.73737 8.00587 9.26279 11.02176 11.80170 14.46167 15.13847 19.00832 19.74238 20.05730 20.38399 21.50365 22.12166
1.75758 7.83007 9.22591 10.90740 11.81141 14.51509 15.18451 19.00320 19.77273 20.00433 20.36161 21.52634 22.13356
1.77778 7.66042 9.19216 10.79329 11.82416 14.56555 15.22751 18.99890 19.80252 19.95312 20.33902 21.54742 22.14488
1.79798 7.49843 9.16153 10.68246 11.83801 14.61273 15.26731 18.99537 19.83163 19.90422 20.31630 21.56686 22.15555
1.81818 7.34561 9.13398 10.57708 11.85187 14.65630 15.30381 18.99254 19.85810 19.85999 20.29354 21.58460 22.16549
1.83838 7.20350 9.10946 10.47885 11.86507 14.69599 15.33686 18.99034 19.81526 19.88753 20.27082 21.60061 22.17461
1.85859 7.07362 9.08795 10.38914 11.87720 14.73157 15.36635 18.98870 19.77617 19.91420 20.24824 21.61483 22.18286
1.87879 6.95743 9.06940 10.30909 11.88802 14.76282 15.39215 18.98751 19.74127 19.93998 20.22585 21.62723 22.19017
1.89899 6.85636 9.05378 10.23970 11.89736 14.78957 15.41418 18.98670 19.71097 19.96484 20.20375 21.63779 22.19646
1.91919 6.77169 9.04105 10.18179 11.90511 14.81166 15.43234 18.98619 19.68564 19.98872 20.18205 21.64646 22.20169
1.93940 6.70455 9.03119 10.13603 11.91119 14.82897 15.44655 18.98589 19.66558 20.01143 20.16097 21.65324 22.20581
1.95960 6.65589 9.02416 10.10296 11.91556 14.84140 15.45674 18.98574 19.65106 20.03242 20.14111 21.65809 22.20878
1.97980 6.62640 9.01995 10.08297 11.91820 14.84889 15.46288 18.98566 19.64227 20.04982 20.12437 21.66100 22.21058
2.00000 6.61652 9.01855 10.07628 11.91907 14.85139 15.46492 18.98565 19.63932 20.05769 20.11672 21.66197 22.21118
