# normalized_q E1[eV] E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.717110 2.217000 2.682700 3.439100 5.056000 5.959100 6.389500 13.002200 13.337200 14.863700 17.152700 18.123600 18.763500
0.727257 2.169100 2.724800 3.398300 5.043500 5.925500 6.382600 12.983300 13.292100 14.875600 17.148100 18.099500 18.792400
0.737404 2.122600 2.766900 3.358800 5.031500 5.891500 6.375800 12.964200 13.248400 14.887300 17.143600 18.076200 18.817700
0.747376 2.077500 2.808800 3.320500 5.019800 5.857300 6.369300 12.945000 13.206200 14.898800 17.139300 18.053700 18.839400
0.757523 2.033800 2.850500 3.283600 5.008500 5.822700 6.363000 12.925900 13.165400 14.910100 17.135300 18.032000 18.857900
0.767670 1.991600 2.891600 3.248300 4.997700 5.788000 6.356800 12.906900 13.126100 14.920900 17.131700 18.011100 18.873900
0.777817 1.950900 2.931800 3.215000 4.987200 5.753000 6.350800 12.888300 13.088300 14.931300 17.128500 17.991100 18.887800
0.787789 1.911700 2.970300 3.184300 4.977100 5.718000 6.345100 12.869900 13.052100 14.941300 17.125700 17.971900 18.900200
0.797936 1.874100 3.005200 3.158200 4.967500 5.683000 6.339500 12.852000 13.017400 14.950700 17.123400 17.953500 18.911500
0.808083 1.838100 3.031000 3.142100 4.958200 5.648000 6.334200 12.834500 12.984200 14.959600 17.121500 17.936000 18.921900
0.818230 1.803700 3.037400 3.146200 4.949400 5.613200 6.329100 12.817600 12.952600 14.967900 17.120000 17.919300 18.931700
0.828202 1.771000 3.024800 3.170200 4.941000 5.578600 6.324200 12.801300 12.922600 14.975700 17.118900 17.903400 18.941100
0.838348 1.739900 3.004400 3.202700 4.933100 5.544400 6.319600 12.785600 12.894200 14.982900 17.118200 17.888400 18.949900
0.848495 1.710500 2.981800 3.237900 4.925600 5.510600 6.315200 12.770600 12.867300 14.989600 17.117800 17.874200 18.958400
0.858467 1.682800 2.959200 3.273600 4.918500 5.477400 6.311100 12.756400 12.842100 14.995700 17.117800 17.860900 18.966600
0.868614 1.656800 2.937300 3.309100 4.911800 5.445000 6.307100 12.742900 12.818500 15.001300 17.118000 17.848500 18.974300
0.878761 1.632500 2.916500 3.343800 4.905600 5.413500 6.303500 12.730300 12.796500 15.006400 17.118400 17.836800 18.981700
0.888908 1.610000 2.896900 3.377400 4.899900 5.383000 6.300100 12.718400 12.776100 15.011000 17.119000 17.826100 18.988800
0.898880 1.589200 2.878700 3.409600 4.894600 5.353800 6.297000 12.707500 12.757300 15.015100 17.119800 17.816200 18.995400
0.909027 1.570200 2.861900 3.440100 4.889700 5.326000 6.294100 12.697400 12.740100 15.018800 17.120600 17.807100 19.001600
0.919174 1.553000 2.846500 3.468800 4.885400 5.299900 6.291500 12.688300 12.724600 15.022100 17.121500 17.798900 19.007300
0.929321 1.537500 2.832800 3.495300 4.881400 5.275600 6.289100 12.680100 12.710600 15.024900 17.122500 17.791600 19.012500
0.939293 1.523900 2.820500 3.519500 4.877900 5.253500 6.287100 12.672800 12.698300 15.027400 17.123400 17.785100 19.017200
0.949440 1.512100 2.809900 3.541100 4.874900 5.233700 6.285300 12.666500 12.687600 15.029500 17.124200 17.779500 19.021400
0.959587 1.502000 2.800900 3.559800 4.872400 5.216500 6.283700 12.661200 12.678500 15.031200 17.125000 17.774800 19.025000
0.969734 1.493800 2.793400 3.575500 4.870300 5.202000 6.282500 12.656900 12.671000 15.032600 17.125700 17.770900 19.027900
0.979706 1.487400 2.787700 3.587900 4.868700 5.190600 6.281500 12.653600 12.665100 15.033700 17.126200 17.767900 19.030200
0.989853 1.482900 2.783500 3.596900 4.867500 5.182300 6.280800 12.651300 12.660900 15.034500 17.126600 17.765700 19.031900
1.000000 1.480100 2.781100 3.602400 4.866800 5.177200 6.280400 12.649900 12.658300 15.034900 17.126900 17.764400 19.032900
