# k j freq[thz] mfp[nm] kappa[W/m/K]
2.70000000e+01 1.00000000e+00 1.29621966e+00 5.38254000e+00 1.44181000e-05
2.70000000e+01 2.00000000e+00 1.38276362e+00 5.10500000e+00 1.33720000e-05
2.70000000e+01 3.00000000e+00 1.94190268e+00 1.50809000e+01 5.56766000e-05
2.70000000e+01 4.00000000e+00 1.99883318e+00 5.57027000e+00 8.73454000e-06
2.70000000e+01 5.00000000e+00 2.05876760e+00 5.83242000e+00 9.18751000e-06
2.70000000e+01 6.00000000e+00 3.00922216e+00 6.85036000e-01 1.23053000e-06
2.80000000e+01 1.00000000e+00 1.39641615e+00 5.36674000e+00 1.35661000e-05
2.80000000e+01 2.00000000e+00 1.48192882e+00 5.34876000e+00 1.31947000e-05
2.80000000e+01 3.00000000e+00 1.94303290e+00 5.28372000e+00 8.30646000e-06
2.80000000e+01 4.00000000e+00 2.00685561e+00 5.88017000e+00 9.66197000e-06
2.80000000e+01 5.00000000e+00 2.09454477e+00 9.62561000e+00 3.43519000e-05
2.80000000e+01 6.00000000e+00 2.92222552e+00 9.58181000e-01 2.06950000e-06
2.90000000e+01 1.00000000e+00 1.48969943e+00 5.16542000e+00 1.21597000e-05
2.90000000e+01 2.00000000e+00 1.57228613e+00 5.05488000e+00 1.13420000e-05
2.90000000e+01 3.00000000e+00 1.88377601e+00 4.55351000e+00 6.93425000e-06
2.90000000e+01 4.00000000e+00 1.94965530e+00 4.85885000e+00 8.32764000e-06
2.90000000e+01 5.00000000e+00 2.23933831e+00 5.90126000e+00 1.99741000e-05
2.90000000e+01 6.00000000e+00 2.82593832e+00 1.33783000e+00 3.25933000e-06
3.00000000e+01 1.00000000e+00 1.57466947e+00 4.82972000e+00 1.02409000e-05
3.00000000e+01 2.00000000e+00 1.64784870e+00 4.20876000e+00 6.99018000e-06
3.00000000e+01 3.00000000e+00 1.82709733e+00 2.70769000e+00 3.16559000e-06
3.00000000e+01 4.00000000e+00 1.88878853e+00 4.57941000e+00 7.99879000e-06
3.00000000e+01 5.00000000e+00 2.37451153e+00 3.37317000e+00 1.05374000e-05
3.00000000e+01 6.00000000e+00 2.72213235e+00 1.79065000e+00 4.65248000e-06
3.10000000e+01 1.00000000e+00 1.64626580e+00 4.38261000e+00 7.03069000e-06
3.10000000e+01 2.00000000e+00 1.67593921e+00 1.39635000e+00 6.53120000e-07
3.10000000e+01 3.00000000e+00 1.80601596e+00 1.49951000e+00 1.05163000e-06
3.10000000e+01 4.00000000e+00 1.82964557e+00 3.32555000e+00 5.01187000e-06
3.10000000e+01 5.00000000e+00 2.48719735e+00 1.42576000e+00 2.76955000e-06
3.10000000e+01 6.00000000e+00 2.62365667e+00 1.55665000e+00 2.85096000e-06
3.20000000e+01 1.00000000e+00 1.62621571e+00 4.58776000e+00 8.31846000e-06
3.20000000e+01 2.00000000e+00 1.67485396e+00 9.26271000e-01 2.98713000e-07
3.20000000e+01 3.00000000e+00 1.80207969e+00 3.46715000e-01 5.57104000e-08
3.20000000e+01 4.00000000e+00 1.85103572e+00 4.12343000e+00 7.31273000e-06
3.20000000e+01 5.00000000e+00 2.45525451e+00 2.37228000e+00 6.35459000e-06
3.20000000e+01 6.00000000e+00 2.65272750e+00 1.92387000e+00 4.66881000e-06
3.30000000e+01 1.00000000e+00 1.54815887e+00 5.07819000e+00 1.12098000e-05
3.30000000e+01 2.00000000e+00 1.62522040e+00 4.54606000e+00 8.64338000e-06
3.30000000e+01 3.00000000e+00 1.84131947e+00 3.80067000e+00 5.65535000e-06
3.30000000e+01 4.00000000e+00 1.91260401e+00 5.16328000e+00 9.81916000e-06
3.30000000e+01 5.00000000e+00 2.33081385e+00 4.06846000e+00 1.31528000e-05
3.30000000e+01 6.00000000e+00 2.75717503e+00 1.67196000e+00 4.29419000e-06
3.40000000e+01 1.00000000e+00 1.45914462e+00 5.36135000e+00 1.30831000e-05
3.40000000e+01 2.00000000e+00 1.54475623e+00 5.09495000e+00 1.18526000e-05
3.40000000e+01 3.00000000e+00 1.89975792e+00 5.30942000e+00 9.11899000e-06
3.40000000e+01 4.00000000e+00 1.97306606e+00 5.57869000e+00 1.05070000e-05
3.40000000e+01 5.00000000e+00 2.19181529e+00 7.04870000e+00 2.43652000e-05
3.40000000e+01 6.00000000e+00 2.85896641e+00 1.21403000e+00 2.85962000e-06
3.50000000e+01 1.00000000e+00 1.36221887e+00 5.42551000e+00 1.42921000e-05
3.50000000e+01 2.00000000e+00 1.45286098e+00 5.31464000e+00 1.35485000e-05
