k,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
0.7833,-6.363,-6.2393,-4.9235,-4.2411,-4.0512,-3.1743,-1.3219,0.6713,1.6636,1.7636,3.1894
0.7867,-6.3808,-6.2344,-4.9236,-4.2405,-4.0156,-3.1691,-1.3278,0.6806,1.6794,1.7504,3.1762
0.79,-6.3984,-6.2294,-4.9241,-4.2396,-3.9795,-3.1639,-1.3336,0.6898,1.6957,1.7372,3.1628
0.7933,-6.4158,-6.2245,-4.9249,-4.2385,-3.9428,-3.1589,-1.3394,0.6988,1.7125,1.7239,3.1491
0.7967,-6.433,-6.2196,-4.9261,-4.2371,-3.9056,-3.154,-1.345,0.7078,1.7106,1.7299,3.1353
0.8,-6.45,-6.2148,-4.9275,-4.2355,-3.868,-3.1493,-1.3505,0.7166,1.6974,1.7477,3.1213
0.8033,-6.4668,-6.21,-4.9292,-4.2337,-3.83,-3.1447,-1.3559,0.7254,1.6841,1.766,3.1071
0.8067,-6.4834,-6.2053,-4.9311,-4.2316,-3.7916,-3.1403,-1.3613,0.7339,1.6709,1.7848,3.0928
0.81,-6.4998,-6.2006,-4.9333,-4.2292,-3.7529,-3.1361,-1.3665,0.7424,1.6577,1.804,3.0783
0.8133,-6.516,-6.196,-4.9356,-4.2266,-3.714,-3.132,-1.3716,0.7506,1.6445,1.8238,3.0638
0.8167,-6.5319,-6.1915,-4.9381,-4.2238,-3.6747,-3.1281,-1.3766,0.7587,1.6315,1.8439,3.0491
0.82,-6.5477,-6.187,-4.9407,-4.2207,-3.6353,-3.1243,-1.3815,0.7666,1.6185,1.8646,3.0343
0.8233,-6.5632,-6.1826,-4.9434,-4.2173,-3.5957,-3.1207,-1.3863,0.7743,1.6056,1.8857,3.0195
0.8267,-6.5785,-6.1783,-4.9463,-4.2137,-3.5559,-3.1173,-1.391,0.7818,1.5928,1.9072,3.0046
0.83,-6.5935,-6.1741,-4.9493,-4.2099,-3.5159,-3.1141,-1.3957,0.7891,1.5802,1.9291,2.9897
0.8333,-6.6083,-6.17,-4.9523,-4.2058,-3.4759,-3.1111,-1.4002,0.7962,1.5676,1.9514,2.9748
0.8367,-6.6229,-6.166,-4.9555,-4.2015,-3.4358,-3.1083,-1.4047,0.803,1.5552,1.9741,2.9598
0.84,-6.6372,-6.1621,-4.9587,-4.197,-3.3957,-3.1056,-1.4091,0.8096,1.543,1.9972,2.9449
0.8433,-6.6513,-6.1582,-4.962,-4.1922,-3.3555,-3.1032,-1.4135,0.816,1.531,2.0207,2.93
0.8467,-6.6651,-6.1545,-4.9653,-4.1873,-3.3153,-3.1009,-1.4178,0.8221,1.5191,2.0445,2.9152
0.85,-6.6786,-6.1509,-4.9686,-4.1821,-3.2751,-3.0988,-1.422,0.8279,1.5074,2.0686,2.9004
0.8533,-6.6919,-6.1474,-4.972,-4.1768,-3.235,-3.0969,-1.4263,0.8335,1.496,2.093,2.8857
0.8567,-6.705,-6.144,-4.9754,-4.1712,-3.1949,-3.0952,-1.4305,0.8388,1.4847,2.1177,2.8711
0.86,-6.7177,-6.1407,-4.9788,-4.1655,-3.155,-3.0937,-1.4346,0.8439,1.4737,2.1427,2.8567
0.8633,-6.7302,-6.1375,-4.9823,-4.1596,-3.1152,-3.0923,-1.4388,0.8486,1.463,2.1679,2.8424
0.8667,-6.7425,-6.1344,-4.9857,-4.1535,-3.0912,-3.0755,-1.443,0.8531,1.4525,2.1932,2.8283
0.87,-6.7544,-6.1314,-4.9891,-4.1473,-3.0902,-3.0359,-1.4472,0.8573,1.4422,2.2188,2.8144
0.8733,-6.7661,-6.1285,-4.9925,-4.141,-3.0893,-2.9966,-1.4515,0.8612,1.4323,2.2444,2.8008
0.8767,-6.7775,-6.1258,-4.9959,-4.1345,-3.0887,-2.9574,-1.4558,0.8648,1.4226,2.2701,2.7874
0.88,-6.7887,-6.1231,-4.9992,-4.1279,-3.0882,-2.9185,-1.4601,0.8681,1.4132,2.2958,2.7744
0.8833,-6.7995,-6.1206,-5.0026,-4.1213,-3.0879,-2.8799,-1.4645,0.8712,1.4041,2.3215,2.7618
0.8867,-6.8101,-6.1181,-5.0059,-4.1145,-3.0877,-2.8415,-1.4691,0.8739,1.3953,2.347,2.7495
0.89,-6.8204,-6.1158,-5.0091,-4.1077,-3.0877,-2.8034,-1.4737,0.8763,1.3869,2.3724,2.7378
0.8933,-6.8304,-6.1135,-5.0123,-4.1008,-3.0878,-2.7656,-1.4784,0.8785,1.3787,2.3973,2.7268
0.8967,-6.8401,-6.1114,-5.0155,-4.0939,-3.088,-2.7282,-1.4833,0.8804,1.3709,2.4217,2.7165
0.9,-6.8495,-6.1093,-5.0186,-4.0869,-3.0884,-2.6912,-1.4883,0.882,1.3634,2.4453,2.7072
0.9033,-6.8586,-6.1074,-5.0216,-4.08,-3.0889,-2.6545,-1.4935,0.8833,1.3562,2.4678,2.6993
0.9067,-6.8675,-6.1055,-5.0246,-4.073,-3.0896,-2.6182,-1.4989,0.8844,1.3494,2.4888,2.6931
0.91,-6.876,-6.1037,-5.0275,-4.0661,-3.0903,-2.5824,-1.5045,0.8853,1.3429,2.5074,2.6893
0.9133,-6.8843,-6.1021,-5.0303,-4.0592,-3.0911,-2.547,-1.5103,0.8859,1.3367,2.5231,2.6887
0.9167,-6.8922,-6.1005,-5.0331,-4.0524,-3.092,-2.5122,-1.5164,0.8863,1.3308,2.5348,2.692
