# f(THz)          1/tau_3p(THz)   1/tau_iso(THz)
1.607284607284607203e+00 1.238442237815585989e-02 8.889798754403020926e-04
4.568164568164568173e+00 1.178622614467828428e-01 4.759442231407081877e-03
8.058608058608058400e+00 3.473319694764664955e-01 2.373229322152369536e-01
8.388818388818389593e+00 4.882335709403378687e-01 1.434460179911647981e-01
8.388818388818389593e+00 4.882335709403378687e-01 1.433023842314088969e-01
1.643890643890643988e+00 1.370890242414521572e-02 1.088121862982162130e-03
1.643890643890643988e+00 1.370890242414521572e-02 1.080804458056015740e-03
4.873714873714873441e+00 1.030823689977713592e-01 7.657413555867617627e-03
7.952887952887953027e+00 3.791958015440852758e-01 2.885798269073350797e-01
8.380748380748380910e+00 4.980154085967420374e-01 1.681061626812218046e-01
8.380748380748380910e+00 4.980154085967420374e-01 1.679685607853926566e-01
1.672156672156672075e+00 1.483144800910057674e-02 1.291429606548438400e-03
1.672156672156672075e+00 1.483144800910057674e-02 1.286999956477226674e-03
5.157005157005157159e+00 1.810829848994898739e-01 1.266435070401941698e-02
7.826257826257825734e+00 9.409196548706705299e-02 2.283961505951330115e-02
8.377178377178376323e+00 5.189817577912136937e-01 2.016090198879035567e-01
8.377178377178376323e+00 5.189817577912136937e-01 2.011095061564690811e-01
1.694065694065693961e+00 1.599690299957928080e-02 1.483631180659574769e-03
1.694065694065693961e+00 1.599690299957928080e-02 1.485870510142383227e-03
5.418395418395418162e+00 2.973447117243019910e-01 2.988238168124444580e-02
7.678927678927678357e+00 7.885689051509320313e-02 2.246503630966172754e-02
8.376218376218375283e+00 5.278103260812194719e-01 2.148059841766555844e-01
8.376218376218375283e+00 5.278103260812194719e-01 2.155396096267473138e-01
1.711087711087710961e+00 1.755482371446025897e-02 1.678377447364811422e-03
1.711087711087710961e+00 1.755482371446025897e-02 1.670675511113334320e-03
5.659025659025658683e+00 4.449625786471357314e-01 1.621421572236414824e-02
7.514137514137513740e+00 6.661515094993204766e-02 2.284334727531798018e-02
8.376518376518376385e+00 5.247608402470573807e-01 2.113968500835519682e-01
8.376518376518376385e+00 5.247608402470573807e-01 2.104965943924836103e-01
