f(THz)          MFP(nm)         kappa(W/m-K)
1.437417E+00    1.209270E+02    2.462112E-03
1.465761E+00    1.204700E+02    3.011400E-03
3.694860E+00    5.704400E+01    4.894824E-03
8.008650E+00    2.694870E+00    5.835912E-05
8.373720E+00    1.009590E+00    8.452872E-06
8.405040E+00    8.977090E-01    6.734880E-06
1.367220E+00    1.647400E+02    3.899808E-03
1.401303E+00    1.554120E+02    4.417032E-03
3.410940E+00    6.306270E+01    5.518128E-03
8.086950E+00    2.388170E+00    5.082792E-05
8.398020E+00    1.092330E+00    1.009726E-05
8.431860E+00    9.453090E-01    7.670328E-06
1.286265E+00    2.299240E+02    6.201960E-03
1.325874E+00    2.073620E+02    6.612624E-03
3.123030E+00    9.988830E+01    8.886696E-03
8.163930E+00    2.027830E+00    4.212840E-05
8.424720E+00    1.147780E+00    1.137058E-05
8.460270E+00    9.699660E-01    8.231040E-06
1.194870E+00    3.240420E+02    9.772320E-03
1.239618E+00    2.785700E+02    9.832296E-03
2.831856E+00    1.159660E+02    1.046309E-02
8.238870E+00    1.631760E+00    3.273648E-05
8.453100E+00    1.158260E+00    1.194835E-05
8.489460E+00    9.611500E-01    8.253096E-06
1.093626E+00    4.518530E+02    1.496993E-02
1.142997E+00    3.754770E+02    1.447447E-02
2.538003E+00    1.372740E+02    1.253333E-02
8.310900E+00    1.743490E+00    3.328080E-05
8.482350E+00    1.138720E+00    1.189039E-05
8.518470E+00    9.136930E-01    7.676472E-06
9.833640E-01    6.182770E+02    2.214281E-02
1.036752E+00    5.042120E+02    2.096534E-02
2.242062E+00    1.691690E+02    1.559928E-02
8.379000E+00    1.616920E+00    2.880792E-05
8.511540E+00    1.071200E+00    1.100395E-05
8.546400E+00    8.261510E-01    6.552792E-06
8.651400E-01    8.245700E+02    3.145152E-02
9.218730E-01    6.719040E+02    2.979096E-02
1.944609E+00    3.365500E+02    3.128712E-02
8.441910E+00    1.379430E+00    2.238439E-05
8.539800E+00    9.548330E-01    9.368400E-06
8.572350E+00    6.846410E-01    4.924392E-06
7.402230E-01    1.098040E+03    4.398768E-02
7.995870E-01    9.076860E+02    4.247352E-02
1.646331E+00    5.376170E+02    5.030040E-02
8.498460E+00    1.173520E+00    1.680658E-05
8.566260E+00    8.187930E-01    7.432224E-06
8.595480E+00    5.374250E-01    3.338640E-06
6.101640E-01    1.524410E+03    6.326784E-02
6.713580E-01    1.239030E+03    6.062304E-02
1.348191E+00    9.795300E+02    9.206592E-02
8.547450E+00    9.974340E-01    1.208808E-05
8.590080E+00    6.686360E-01    5.415240E-06
8.615100E+00    4.230340E-01    2.127576E-06
4.770480E-01    2.303800E+03    9.765864E-02
5.389530E-01    1.845420E+03    9.356544E-02
1.051950E+00    1.614980E+03    1.521485E-01
8.587710E+00    7.836620E-01    7.569336E-06
8.610510E+00    5.589720E-01    3.866304E-06
8.630610E+00    3.036400E-01    1.122178E-06
3.444450E-01    4.237770E+03    1.805731E-01
4.044810E-01    3.235580E+03    1.679561E-01
7.618770E-01    4.323170E+03    4.070400E-01
8.618340E+00    5.574790E-01    3.901392E-06
8.627010E+00    4.299530E-01    2.396897E-06
8.641560E+00    1.822050E-01    4.188720E-07
2.216379E-01    8.290150E+03    1.757148E-01
2.695416E-01    4.615500E+03    1.200432E-01
