f(THz)          1/tau_3p(THz)   1/tau_iso(THz)
8.509380E+00    5.105975E-01    4.541836E-02
1.242516E+00    5.274345E-03    2.441142E-04
1.253292E+00    6.607944E-03    2.552855E-04
2.929653E+00    3.529815E-02    8.325210E-03
8.214240E+00    4.228348E-01    2.575669E-01
8.442720E+00    4.749962E-01    5.858471E-02
8.480370E+00    4.893924E-01    5.074229E-02
1.330395E+00    6.541805E-03    3.461483E-04
1.336014E+00    7.909015E-03    3.523757E-04
3.219780E+00    4.952677E-02    7.118618E-04
8.138640E+00    3.568599E-01    2.197649E-01
8.414490E+00    4.524150E-01    6.598564E-02
8.451570E+00    4.734109E-01    5.673592E-02
1.407621E+00    7.740597E-03    4.699206E-04
1.407939E+00    9.263891E-03    4.682795E-04
3.506400E+00    7.507113E-02    1.078153E-03
8.061300E+00    3.012075E-01    2.036823E-01
8.388180E+00    4.320718E-01    7.460105E-02
8.423880E+00    4.609336E-01    6.344202E-02
1.469028E+00    1.047834E-02    5.990997E-04
1.473963E+00    8.920845E-03    6.179537E-04
3.788790E+00    8.371844E-02    1.597059E-03
7.982730E+00    2.603306E-01    1.987683E-01
8.364420E+00    4.160720E-01    8.498018E-02
8.398080E+00    4.358799E-01    7.103442E-02
1.519572E+00    1.170656E-02    7.435165E-04
1.529517E+00    1.012858E-02    7.815282E-04
4.066110E+00    1.229754E-01    2.321432E-03
7.903230E+00    2.337169E-01    2.676493E-01
8.343720E+00    3.988449E-01    9.792851E-02
8.374800E+00    4.138525E-01    7.990886E-02
1.560195E+00    1.287750E-02    8.993712E-04
1.574688E+00    1.126325E-02    9.670239E-04
4.337490E+00    1.874509E-01    3.327618E-03
7.822770E+00    2.006199E-01    9.924814E-02
8.326380E+00    3.868607E-01    1.147344E-01
8.354550E+00    3.937659E-01    9.095333E-02
1.591797E+00    1.386557E-02    1.061833E-03
1.610178E+00    1.212581E-02    1.173139E-03
4.601820E+00    1.198666E-01    4.719188E-03
7.741080E+00    1.699487E-01    2.382388E-02
8.312490E+00    3.780904E-01    1.381132E-01
8.337540E+00    3.820950E-01    1.030122E-01
1.615518E+00    1.445638E-02    1.226694E-03
1.636947E+00    1.295651E-02    1.449623E-03
4.857990E+00    1.106121E-01    6.658424E-03
7.657590E+00    1.429548E-01    2.410338E-02
8.301960E+00    3.678702E-01    1.757410E-01
8.323860E+00    3.733726E-01    1.188503E-01
1.632645E+00    1.515491E-02    1.375378E-03
1.656135E+00    1.399700E-02    1.760738E-03
5.104740E+00    1.730137E-01    9.425132E-03
7.571580E+00    1.139599E-01    2.435828E-02
8.294460E+00    3.566843E-01    2.639596E-01
8.313300E+00    3.666549E-01    1.379292E-01
1.644516E+00    1.677214E-02    1.529810E-03
1.669002E+00    1.555203E-02    2.515375E-03
5.340660E+00    2.740567E-01    1.367252E-02
7.482390E+00    8.929448E-02    2.458932E-02
8.289600E+00    3.533419E-01    5.336390E-01
8.305560E+00    3.576717E-01    1.586012E-01
1.652439E+00    1.880526E-02    1.695655E-03
1.676832E+00    1.698716E-02    2.646324E-03
5.564100E+00    3.851012E-01    2.294381E-02
7.389330E+00    6.977637E-02    2.481311E-02
8.286840E+00    3.546300E-01    6.716689E-01
8.300220E+00    3.591515E-01    1.855998E-01
1.657602E+00    2.164348E-02    1.816770E-03
1.680858E+00    1.855047E-02    2.606256E-03
5.772960E+00    5.241365E-01    1.908493E-02
7.292340E+00    5.588840E-02    2.506753E-02
8.285670E+00    3.615577E-01    6.889562E-01
8.296770E+00    3.629105E-01    2.197891E-01
1.661007E+00    2.388333E-02    1.983930E-03
1.682211E+00    2.033169E-02    2.546630E-03
5.964210E+00    6.572591E-01    1.199535E-02
7.192440E+00    4.813640E-02    2.540058E-02
8.285520E+00    3.744491E-01    6.818105E-01
8.294670E+00    3.735776E-01    2.606866E-01
1.663431E+00    2.446459E-02    2.222997E-03
1.681848E+00    2.239105E-02    2.571817E-03
6.132240E+00    6.390797E-01    1.331260E-02
7.093470E+00    5.223405E-02    2.592820E-02
8.286000E+00    3.945614E-01    6.975268E-01
8.293440E+00    3.895158E-01    3.178579E-01
1.665414E+00    2.452098E-02    2.376717E-03
1.680540E+00    2.322438E-02    2.615814E-03
6.265200E+00    2.128951E-01    2.116543E-02
7.005960E+00    4.992661E-02    2.691726E-02
8.286690E+00    4.756718E-01    6.879199E-01
8.292660E+00    4.298265E-01    3.750413E-01
1.667244E+00    2.465350E-02    2.489292E-03
1.678845E+00    2.373662E-02    2.669856E-03
6.338220E+00    1.693945E-01    2.183131E-02
6.953730E+00    8.370232E-02    2.880349E-02
8.287440E+00    4.617359E-01    6.056583E-01
8.292000E+00    4.684872E-01    4.869785E-01
1.668975E+00    2.463710E-02    2.560763E-03
1.677093E+00    2.388242E-02    2.654109E-03
6.322680E+00    1.760914E-01    2.185317E-02
6.965040E+00    7.419003E-02    2.821317E-02
8.288100E+00    4.787484E-01    5.688822E-01
8.291340E+00    4.668512E-01    5.247499E-01
1.670433E+00    2.346173E-02    2.552634E-03
1.675389E+00    2.376516E-02    2.606702E-03
6.226080E+00    2.552368E-01    2.047997E-02
7.032450E+00    9.377520E-02    2.649517E-02
8.288820E+00    4.090080E-01    5.500590E-01
8.290590E+00    4.347429E-01    5.180101E-01
1.671213E+00    2.163964E-02    2.520557E-03
1.673592E+00    2.359698E-02    2.567535E-03
6.079440E+00    6.093994E-01    1.215488E-02
7.125570E+00    4.873722E-02    2.571851E-02
8.289780E+00    3.842503E-01    5.309307E-01
8.289930E+00    3.874257E-01    5.230889E-01
1.670709E+00    1.992532E-02    2.547449E-03
1.671312E+00    2.286451E-02    2.507956E-03
5.902770E+00    6.662270E-01    1.343022E-02
7.225500E+00    4.932231E-02    2.525669E-02
8.289570E+00    3.689669E-01    5.273555E-01
8.291370E+00    3.687588E-01    5.319636E-01
1.667910E+00    2.111348E-02    2.502614E-03
1.668105E+00    1.813625E-02    2.571288E-03
5.705160E+00    4.830615E-01    2.385286E-02
7.324590E+00    5.998261E-02    2.494092E-02
8.289900E+00    3.578099E-01    5.236434E-01
8.293980E+00    3.610982E-01    2.809193E-01
1.662411E+00    1.662201E-02    2.135318E-03
1.662507E+00    1.761602E-02    2.089225E-03
5.491110E+00    3.347090E-01    1.847194E-02
7.420260E+00    7.556123E-02    2.468889E-02
8.291430E+00    3.544352E-01    5.361874E-01
8.298210E+00    3.576653E-01    2.040094E-01
1.652478E+00    1.519369E-02    1.691928E-03
1.653999E+00    1.637369E-02    1.706847E-03
5.263290E+00    2.415016E-01    1.201471E-02
7.511970E+00    9.732928E-02    2.445278E-02
8.294640E+00    3.525434E-01    2.613188E-01
8.304510E+00    3.594782E-01    1.629224E-01
1.637079E+00    1.372124E-02    1.440197E-03
1.641126E+00    1.490662E-02    1.478767E-03
5.023530E+00    1.327589E-01    8.385128E-03
7.600020E+00    1.240602E-01    2.421333E-02
8.300100E+00    3.593955E-01    1.866766E-01
8.313420E+00    3.674566E-01    1.358299E-01
1.614948E+00    1.287653E-02    1.240351E-03
1.622538E+00    1.423966E-02    1.275739E-03
4.773450E+00    1.078160E-01    5.934876E-03
7.685070E+00    1.502458E-01    2.397356E-02
8.308290E+00    3.668231E-01    1.496285E-01
8.325300E+00    3.791872E-01    1.160707E-01
1.584876E+00    1.187296E-02    1.023727E-03
1.596873E+00    1.356799E-02    1.086862E-03
4.514370E+00    1.319803E-01    4.204220E-03
7.767900E+00    1.809608E-01    2.374921E-02
8.319570E+00    3.784524E-01    1.246922E-01
8.340420E+00    3.871842E-01    1.004756E-01
1.545798E+00    1.079980E-02    8.414801E-04
1.562871E+00    1.268937E-02    9.091866E-04
4.247520E+00    1.616948E-01    2.954887E-03
7.849200E+00    2.110061E-01    2.430420E-01
8.334240E+00    3.897921E-01    1.059323E-01
8.358900E+00    3.966711E-01    8.804574E-02
1.496844E+00    9.569653E-03    6.744436E-04
1.519443E+00    1.152719E-02    7.427923E-04
3.974010E+00    1.069711E-01    2.052579E-03
7.929360E+00    2.438566E-01    2.003706E-01
8.352330E+00    4.040992E-01    9.191534E-02
8.380560E+00    4.173727E-01    7.759102E-02
1.437417E+00    8.344459E-03    5.269234E-04
1.465761E+00    1.034524E-02    5.896838E-04
3.694860E+00    7.982757E-02    1.403897E-03
8.008650E+00    2.828366E-01    1.995351E-01
8.373720E+00    4.236444E-01    8.037003E-02
8.405040E+00    4.396435E-01    6.882242E-02
1.367220E+00    7.170515E-03    3.976173E-04
1.401303E+00    9.180292E-03    4.534340E-04
3.410940E+00    7.366862E-02    9.415381E-04
8.086950E+00    3.285421E-01    2.078206E-01
8.398020E+00    4.436971E-01    7.104516E-02
8.431860E+00    4.615207E-01    6.120751E-02
1.286265E+00    5.886508E-03    2.895338E-04
1.325874E+00    7.760962E-03    3.366626E-04
3.123030E+00    4.181896E-02    5.882318E-03
8.163930E+00    3.894748E-01    2.287173E-01
8.424720E+00    4.623465E-01    6.314510E-02
8.460270E+00    4.785719E-01    5.474148E-02
1.194870E+00    4.695387E-03    2.016290E-04
1.239618E+00    6.428677E-03    2.397234E-04
2.831856E+00    3.339054E-02    8.126145E-03
8.238870E+00    4.572411E-01    2.865188E-01
8.453100E+00    4.863932E-01    5.638599E-02
8.489460E+00    4.963617E-01    4.879056E-02
1.093626E+00    3.722759E-03    1.333469E-04
1.142997E+00    5.238317E-03    1.625048E-04
2.538003E+00    2.804097E-02    7.330837E-03
8.310900E+00    5.209364E-01    1.430213E-01
8.482350E+00    5.090950E-01    5.032054E-02
8.518470E+00    5.183173E-01    4.336051E-02
9.833640E-01    2.962226E-03    8.270221E-05
1.036752E+00    4.231998E-03    1.039700E-04
2.242062E+00    1.902522E-02    9.876594E-03
8.379000E+00    5.913800E-01    7.842129E-02
8.511540E+00    5.408768E-01    4.475763E-02
8.546400E+00    5.486126E-01    3.842104E-02
8.651400E-01    2.383040E-03    4.746539E-05
9.218730E-01    3.406087E-03    6.186014E-05
1.944609E+00    1.035571E-02    4.251852E-03
8.441910E+00    6.579207E-01    5.872995E-02
8.539800E+00    5.885642E-01    3.958440E-02
8.572350E+00    6.093363E-01    3.361825E-02
7.402230E-01    1.891528E-03    2.455848E-05
7.995870E-01    2.674555E-03    3.348345E-05
1.646331E+00    7.625148E-03    1.557083E-03
8.498460E+00    6.980705E-01    4.686391E-02
8.566260E+00    6.438528E-01    3.445819E-02
8.595480E+00    6.794955E-01    2.851918E-02
6.101640E-01    1.418375E-03    1.097611E-05
6.713580E-01    2.057495E-03    1.604125E-05
1.348191E+00    4.683095E-03    3.700387E-04
8.547450E+00    7.050794E-01    3.786818E-02
8.590080E+00    7.118603E-01    2.989692E-02
8.615100E+00    7.053778E-01    2.332053E-02
4.770480E-01    9.617142E-04    3.993560E-06
5.389530E-01    1.435709E-03    6.441351E-06
1.051950E+00    2.954035E-03    1.133742E-04
8.587710E+00    7.244067E-01    3.031597E-02
8.610510E+00    7.337726E-01    2.454997E-02
8.630610E+00    7.284913E-01    1.795562E-02
3.444450E-01    5.265458E-04    1.055664E-06
4.044810E-01    8.399338E-04    1.965849E-06
7.618770E-01    1.116542E-03    2.735791E-05
8.618340E+00    7.464023E-01    2.312440E-02
8.627010E+00    7.758253E-01    1.923896E-02
8.641560E+00    7.615392E-01    1.253247E-02
2.216379E-01    2.681095E-04    1.632731E-07
2.695416E-01    5.909397E-04    3.668979E-07
4.928340E-01    3.992255E-04    4.465851E-06
8.638260E+00    7.621603E-01    1.409261E-02
8.639370E+00    8.069332E-01    1.289352E-02
8.647620E+00    7.750376E-01    7.251388E-03
3.787050E-01    8.481980E-04    1.491860E-06
3.787050E-01    8.481980E-04    1.491860E-06
6.640920E-01    4.775618E-04    1.544737E-05
8.625270E+00    7.568934E-01    1.985992E-02
8.625270E+00    7.568934E-01    1.985992E-02
8.646600E+00    8.224834E-01    6.600870E-03
4.743810E-01    1.034068E-03    3.867087E-06
4.840890E-01    1.213772E-03    4.199964E-06
8.742810E-01    1.210721E-03    4.954527E-05
8.606670E+00    7.451787E-01    2.628933E-02
8.610210E+00    7.318448E-01    2.465356E-02
8.642160E+00    8.113590E-01    1.203186E-02
5.811540E-01    1.424895E-03    8.895227E-06
6.020820E-01    1.799072E-03    1.046313E-05
1.132191E+00    2.529379E-03    1.557545E-04
8.577150E+00    7.173756E-01    3.262632E-02
8.590890E+00    7.028000E-01    2.981688E-02
8.633280E+00    7.783858E-01    1.612257E-02
6.977220E-01    1.884762E-03    1.924929E-05
7.234770E-01    2.599273E-03    2.240594E-05
1.408077E+00    4.495938E-03    4.698725E-04
8.537850E+00    6.864172E-01    4.012636E-02
8.567940E+00    6.723503E-01    3.427862E-02
8.619870E+00    7.445407E-01    2.214237E-02
8.182140E-01    2.190825E-03    3.757210E-05
8.434470E-01    3.369715E-03    4.281168E-05
1.691769E+00    7.267125E-03    2.628183E-03
8.489790E+00    6.693754E-01    4.852545E-02
8.541990E+00    6.461409E-01    3.928353E-02
8.602140E+00    6.730426E-01    2.673275E-02
9.379890E-01    2.567750E-03    6.781689E-05
9.590430E-01    4.160530E-03    7.442544E-05
1.979022E+00    1.008556E-02    4.570346E-03
8.434140E+00    6.520605E-01    6.067246E-02
8.513790E+00    5.794045E-01    4.432077E-02
8.580600E+00    6.244341E-01    3.147994E-02
1.053801E+00    3.208728E-03    1.139288E-04
1.068195E+00    5.115430E-03    1.199531E-04
2.267652E+00    1.862260E-02    8.674746E-03
8.372040E+00    5.800868E-01    8.099594E-02
8.484180E+00    5.366333E-01    4.985292E-02
8.555910E+00    5.797135E-01    3.675230E-02
1.163316E+00    4.068497E-03    1.784545E-04
1.169355E+00    6.144129E-03    1.821421E-04
2.556315E+00    2.745036E-02    7.366403E-03
8.304690E+00    4.800376E-01    1.635293E-01
8.454060E+00    5.001200E-01    5.610918E-02
8.528880E+00    5.364231E-01    4.131433E-02
1.261356E+00    7.429034E-03    2.629777E-04
1.264803E+00    5.238015E-03    2.669859E-04
2.844030E+00    3.227608E-02    8.144622E-03
8.233230E+00    4.105866E-01    2.781803E-01
8.424360E+00    4.756718E-01    6.322586E-02
8.500470E+00    5.092557E-01    4.668899E-02
1.343361E+00    8.725699E-03    3.625663E-04
1.356990E+00    6.432812E-03    3.834484E-04
3.129960E+00    4.092088E-02    5.610872E-03
8.158620E+00    3.516236E-01    2.265982E-01
