# k j freq[thz] mfp[nm] kappa[W/m/K]
21.0 1.0 0.193136199328 570.669 0.00120421
21.0 2.0 0.7520582111999999 370.853 0.00147709
21.0 3.0 1.19473407632 225.748 0.00141869
21.0 4.0 5.061718107200001 1.18469 3.16425e-07
21.0 5.0 5.144130928 5.40559 6.23894e-06
21.0 6.0 7.1955176464 3.77951 2.21272e-06
21.0 7.0 8.6334699744 0.0252943 8.39426e-10
21.0 8.0 8.9984367552 0.862865 4.1091e-07
21.0 9.0 10.588113814400002 1.55038 8.86388e-07
22.0 1.0 0.21145978616000002 533.15 0.0011717
22.0 2.0 0.78861484768 344.641 0.00136786
22.0 3.0 1.25282477216 219.514 0.00137511
22.0 4.0 5.0643562768 1.18854 3.31103e-07
22.0 5.0 5.1545936688 5.65336 6.75873e-06
22.0 6.0 7.1898815568000005 3.95852 2.41204e-06
22.0 7.0 8.633709808 0.0270851 9.26428e-10
22.0 8.0 8.991361664000001 0.818097 3.99296e-07
22.0 9.0 10.5815183904 1.61946 9.68449e-07
23.0 1.0 0.230570926576 448.261 0.00102357
23.0 2.0 0.825027584 332.38 0.00131432
23.0 3.0 1.3106876260800002 213.107 0.00133048
23.0 4.0 5.067084384 1.13199 3.28061e-07
23.0 5.0 5.16541616 5.73453 7.08148e-06
23.0 6.0 7.1839456752 4.13463 2.61549e-06
23.0 7.0 8.6339496416 0.0287828 1.01102e-09
23.0 8.0 8.9841966352 0.749762 3.73784e-07
23.0 9.0 10.5746531536 1.68201 1.04956e-06
24.0 1.0 0.25045762889600004 437.224 0.00103502
24.0 2.0 0.86129042432 321.174 0.00126509
24.0 3.0 1.3683226380800002 204.793 0.00127405
24.0 4.0 5.069932408000001 1.20259 3.61708e-07
24.0 5.0 5.1766283808 6.03867 7.68252e-06
24.0 6.0 7.1777399808 4.30963 2.82377e-06
24.0 7.0 8.6342194544 0.0304919 1.09608e-09
24.0 8.0 8.976971648000001 0.646841 3.28329e-07
24.0 9.0 10.5674581456 1.73937 1.12998e-06
25.0 1.0 0.271106702272 413.949 0.00101383
25.0 2.0 0.8973943748800001 299.667 0.0011756
25.0 3.0 1.42571781648 187.934 0.00116483
25.0 4.0 5.0729003488 1.32036 4.11253e-07
25.0 5.0 5.1881703728 6.14503 8.03489e-06
25.0 6.0 7.1712644736 4.47943 3.03369e-06
25.0 7.0 8.6345192464 0.032072 1.1758e-09
25.0 8.0 8.9696867024 0.469974 2.42151e-07
25.0 9.0 10.5599633456 1.78921 1.20769e-06
26.0 1.0 0.29250555544 374.835 0.000947989
26.0 2.0 0.93333943568 283.904 0.00110904
26.0 3.0 1.48286416752 205.549 0.00126906
26.0 4.0 5.0759582272 1.41124 4.54259e-07
26.0 5.0 5.2000721152 6.21755 8.33669e-06
26.0 6.0 7.1644891744 4.64791 3.24733e-06
26.0 7.0 8.6348490176 0.033455 1.2467e-09
26.0 8.0 8.9624017568 0.397251 2.07172e-07
26.0 9.0 10.552198732799999 1.82824 1.27975e-06
27.0 1.0 0.31464069776000003 356.747 0.000930035
27.0 2.0 0.96911961088 261.267 0.00101611
27.0 3.0 1.5397616912 193.507 0.00118987
27.0 4.0 5.0791060432 1.49793 4.97346e-07
27.0 5.0 5.2123036288 6.62116 9.08476e-06
27.0 6.0 7.157444062400001 4.81652 3.46539e-06
27.0 7.0 8.635208768 0.0346493 1.3081e-09
27.0 8.0 8.9551467904 0.579534 3.05078e-07
27.0 9.0 10.5441643072 1.84896 1.33985e-06
28.0 1.0 0.33749983776 347.236 0.000931569
28.0 2.0 1.00472890464 241.203 0.000933765
28.0 3.0 1.5964013937600001 171.138 0.00104786
28.0 4.0 5.082373776 1.55684 5.32227e-07
28.0 5.0 5.2248349344000005 6.8933 9.65982e-06
28.0 6.0 7.1501291376 4.98289 3.68582e-06
28.0 7.0 8.6355984976 0.0356186 1.35776e-09
28.0 8.0 8.9479218032 0.675659 3.58089e-07
28.0 9.0 10.5358300896 1.7946 1.34411e-06
29.0 1.0 0.36106648688000004 407.588 0.00112356
29.0 2.0 1.04016132112 234.261 0.000902555
29.0 3.0 1.65277428144 152.882 0.000931945
29.0 4.0 5.0857314464 1.60509 5.64048e-07
29.0 5.0 5.237666032000001 7.10927 1.01561e-05
29.0 6.0 7.1425444 5.13761 3.90111e-06
29.0 7.0 8.636018206400001 0.0364324 1.39758e-09
29.0 8.0 8.940786753600001 0.745199 3.96623e-07
29.0 9.0 10.5272260592 1.88496 1.45697e-06
30.0 1.0 0.38533165136 401.197 0.00113471
30.0 2.0 1.07541686032 205.221 0.000786745
30.0 3.0 1.70887735632 131.89 0.00080028
30.0 4.0 5.0892090336 1.67845 6.05353e-07
30.0 5.0 5.2507669424 7.32291 1.06462e-05
30.0 6.0 7.134719828800001 5.29533 4.1217e-06
30.0 7.0 8.6364678944 0.0370541 1.42555e-09
30.0 8.0 8.933771620800002 0.801938 4.27607e-07
30.0 9.0 10.518352216 2.02019 1.6092e-06
31.0 1.0 0.41027734368 355.415 0.00102997
31.0 2.0 1.11048652848 188.139 0.000717542
31.0 3.0 1.76470162464 118.133 0.000713367
31.0 4.0 5.0927465792 1.74185 6.43794e-07
31.0 5.0 5.2641376656 7.49135 1.10655e-05
31.0 6.0 7.1265954656 5.4352 4.33097e-06
31.0 7.0 8.636917582399999 0.0374725 1.44076e-09
31.0 8.0 8.926846425599999 0.85505 4.55704e-07
31.0 9.0 10.509208560000001 2.14075 1.75503e-06
32.0 1.0 0.43589157216 359.639 0.00106651
32.0 2.0 1.14536732768 193.634 0.00073456
32.0 3.0 1.82024109056 96.5253 0.000579982
32.0 4.0 5.0964040416 1.79842 6.80229e-07
32.0 5.0 5.2777482224000005 7.62764 1.14297e-05
32.0 6.0 7.1182312688 5.57585 4.54288e-06
32.0 7.0 8.6374272288 0.0376008 1.43958e-09
32.0 8.0 8.9201011056 0.907922 4.8256e-07
32.0 9.0 10.4997950912 1.97599 1.6652e-06
33.0 1.0 0.46215634928000004 346.384 0.00104989
33.0 2.0 1.18005925792 191.312 0.000721744
33.0 3.0 1.87549275616 134.572 0.000804409
33.0 4.0 5.100121462400001 1.85707 7.17873e-07
33.0 5.0 5.2915986128 7.75443 1.17705e-05
33.0 6.0 7.109597259200001 5.70777 4.74938e-06
33.0 7.0 8.6379368752 0.037585 1.42746e-09
33.0 8.0 8.913535660800001 0.958802 5.07109e-07
33.0 9.0 10.4901417888 2.06241 1.7845e-06
34.0 1.0 0.4890626812800001 317.958 0.000983915
34.0 2.0 1.21455332544 186.607 0.00069997
34.0 3.0 1.93044762768 143.756 0.000854686
34.0 4.0 5.1039588 1.90912 7.53281e-07
34.0 5.0 5.305688836800001 7.87428 1.20911e-05
34.0 6.0 7.1007533952 5.83998 4.9575e-06
34.0 7.0 8.63850648 0.0373785 1.40264e-09
34.0 8.0 8.9071800704 1.00258 5.2655e-07
34.0 9.0 10.4801886944 2.13137 1.89141e-06
35.0 1.0 0.51658958272 287.61 0.000907668
35.0 2.0 1.2488495302400002 181.244 0.000675845
35.0 3.0 1.9850997092800002 140.633 0.000831466
35.0 4.0 5.107856096 1.95993 7.88405e-07
35.0 5.0 5.3199889152 7.94796 1.23295e-05
35.0 6.0 7.0916397184 5.96187 5.1579e-06
35.0 7.0 8.6390760848 0.0368706 1.36124e-09
35.0 8.0 8.9010343344 1.03648 5.39436e-07
35.0 9.0 10.470025745600001 2.18971 1.99092e-06
36.0 1.0 0.5447280598400001 256.458 0.000824589
36.0 2.0 1.2829418764800002 175.675 0.000651089
36.0 3.0 2.03944600304 115.894 0.000681241
36.0 4.0 5.1118133504 2.00492 8.21285e-07
36.0 5.0 5.3344688688 7.99284 1.2511e-05
36.0 6.0 7.082316187200001 6.07307 5.34957e-06
36.0 7.0 8.6396456896 0.0361052 1.30548e-09
36.0 8.0 8.8951584112 1.08038 5.56089e-07
36.0 9.0 10.459592984 2.24005 2.08469e-06
37.0 1.0 0.57346012512 216.223 0.00070763
37.0 2.0 1.31682736624 170.055 0.000626299
37.0 3.0 2.0934745172800002 110.488 0.000645581
37.0 4.0 5.1158605424 2.0482 8.53456e-07
37.0 5.0 5.3491286976 8.05896 1.27132e-05
37.0 6.0 7.0727528224 6.17394 5.53223e-06
37.0 7.0 8.6402752528 0.0351306 1.23788e-09
37.0 8.0 8.889522321600001 1.08812 5.52821e-07
37.0 9.0 10.4488904096 2.2831 2.17285e-06
38.0 1.0 0.60277378688 224.516 0.000747214
38.0 2.0 1.35050000368 168.763 0.000617515
38.0 3.0 2.1471852520000003 104.157 0.000604818
38.0 4.0 5.119997672 2.0908 8.85282e-07
38.0 5.0 5.3639384224 8.08375 1.28377e-05
38.0 6.0 7.0629796032000005 6.2684 5.70882e-06
38.0 7.0 8.640904816 0.033875 1.15694e-09
38.0 8.0 8.884156044800001 1.0826 5.41865e-07
38.0 9.0 10.4379779808 2.29328 2.23e-06
39.0 1.0 0.63264805968 245.88 0.000831461
39.0 2.0 1.38396278672 176.603 0.000641893
39.0 3.0 2.20056921344 104.05 0.000600321
39.0 4.0 5.124194760000001 2.13025 9.15635e-07
39.0 5.0 5.3789280224 8.07705 1.28989e-05
39.0 6.0 7.052996529600001 6.35269 5.87547e-06
39.0 7.0 8.6415343792 0.032441 1.06743e-09
39.0 8.0 8.87908956 1.06423 5.23795e-07
39.0 9.0 10.426825718400002 2.24771 2.23137e-06
40.0 1.0 0.66307394976 252.8 0.000867882
40.0 2.0 1.4172037236800001 155.636 0.000561798
40.0 3.0 2.25361740784 94.6914 0.000542706
40.0 4.0 5.1284518064 2.17206 9.46829e-07
40.0 5.0 5.3940375392 8.06629 1.29408e-05
40.0 6.0 7.0428335808 6.43112 6.03569e-06
40.0 7.0 8.6421939216 0.030807 9.69993e-10
40.0 8.0 8.8743528464 1.03547 5.00241e-07
40.0 9.0 10.415433622400002 2.31713 2.34652e-06
41.0 1.0 0.6940304716800001 248.5 0.000865454
41.0 2.0 1.45022581248 150.395 0.000539047
41.0 3.0 2.30632383936 102.756 0.000584892
41.0 4.0 5.132768811200001 2.18259 9.64009e-07
41.0 5.0 5.4092669728 8.00736 1.28924e-05
41.0 6.0 7.0324607776 6.50374 6.18917e-06
41.0 7.0 8.6428234848 0.0288744 8.63268e-10
41.0 8.0 8.8699159248 0.997235 4.72041e-07
41.0 9.0 10.4038016928 2.41936 2.49744e-06
42.0 1.0 0.72550863168 241.67 0.000853203
42.0 2.0 1.48302005936 128.549 0.000457402
42.0 3.0 2.3586855100800004 101.671 0.000574617
42.0 4.0 5.1371457744 2.22871 9.9652e-07
42.0 5.0 5.4246163232 7.91935 1.27845e-05
42.0 6.0 7.021938078400001 6.56396 6.32923e-06
42.0 7.0 8.6434830272 0.0268551 7.55576e-10
42.0 8.0 8.865808774400001 0.950157 4.39907e-07
42.0 9.0 10.3919599088 2.5181 2.64779e-06
43.0 1.0 0.7574844464 227.688 0.000814288
43.0 2.0 1.51558946224 114.75 0.000405257
43.0 3.0 2.41069042832 116.262 0.000652276
43.0 4.0 5.141582696 2.25101 1.01803e-06
43.0 5.0 5.4400855904 7.80817 1.2627e-05
43.0 6.0 7.011265483200001 6.61588 6.45929e-06
43.0 7.0 8.644142569600001 0.0245609 6.43449e-10
43.0 8.0 8.8620313952 0.892896 4.03654e-07
43.0 9.0 10.379908270400001 2.61384 2.79775e-06
44.0 1.0 0.7899489220800001 209.441 0.000758253
44.0 2.0 1.54792502736 105.243 0.000368835
44.0 3.0 2.4623325982399997 97.6367 0.000543643
44.0 4.0 5.146079576 2.2763 1.04041e-06
44.0 5.0 5.455614816 7.62238 1.23376e-05
44.0 6.0 7.0004130128 6.66007 6.57955e-06
44.0 7.0 8.644802112 0.0221952 5.34556e-10
44.0 8.0 8.8585837872 0.827591 3.64708e-07
44.0 9.0 10.3676167984 2.73149 2.97419e-06
45.0 1.0 0.8228840712 222.512 0.000814976
45.0 2.0 1.58002675472 100.276 0.000348667
45.0 3.0 2.513606024 97.7256 0.000539894
45.0 4.0 5.1506064352 2.29885 1.06105e-06
45.0 5.0 5.471204 7.30242 1.18203e-05
45.0 6.0 6.9894406256 6.69423 6.68733e-06
45.0 7.0 8.6454616544 0.0196425 4.28069e-10
45.0 8.0 8.8554959296 0.756013 3.24246e-07
45.0 9.0 10.355115472000001 2.8118 3.11264e-06
46.0 1.0 0.85627190624 207.022 0.000766615
46.0 2.0 1.6118886484800001 90.1895 0.000311066
46.0 3.0 2.56450171184 102.387 0.000561095
46.0 4.0 5.1551932528 2.3182 1.07967e-06
46.0 5.0 5.4868831216 6.40346 1.03574e-05
46.0 6.0 6.9783483216 6.71974 6.78362e-06
46.0 7.0 8.6460912176 0.0170583 3.29623e-10
46.0 8.0 8.8527678224 0.677067 2.82165e-07
46.0 9.0 10.342434270400002 2.89003 3.25058e-06
47.0 1.0 0.8900974376 187.407 0.000701233
47.0 2.0 1.64350771072 85.8983 0.000293815
47.0 3.0 2.61501366592 106.204 0.000577179
47.0 4.0 5.1598100496 2.32476 1.09172e-06
47.0 5.0 5.5026222016 7.45612 1.20418e-05
47.0 6.0 6.9671361008 6.73494 6.86635e-06
