# freq[thz] kappa[W/m/K]
1.31009104 25.68241495
1.31308896 25.72265435
1.31608688 25.76287385
1.31908480 25.80305610
1.32208272 25.84319165
1.32508064 25.88327725
1.32807856 25.92331220
1.33107648 25.96330175
1.33407440 26.00326010
1.33707232 26.04319885
1.34007024 26.08313840
1.34306816 26.12309540
1.34606608 26.16307260
1.34906400 26.20307850
1.35206192 26.24312260
1.35505984 26.28321395
1.35805776 26.32335920
1.36105568 26.36356160
1.36405360 26.40382060
1.36705152 26.44413070
1.37004944 26.48447975
1.37304736 26.52486170
1.37604528 26.56527840
1.37904320 26.60572965
1.38204112 26.64620780
1.38503904 26.68669585
1.38803696 26.72718345
1.39103488 26.76766210
1.39403280 26.80811750
1.39703072 26.84854460
1.40002864 26.88895785
1.40302656 26.92937250
1.40602448 26.96978180
1.40902240 27.01017235
1.41202032 27.05053610
1.41501824 27.09087210
1.41801616 27.13118635
1.42101408 27.17148505
1.42401200 27.21177280
1.42700992 27.25205760
1.43000784 27.29235240
1.43300576 27.33265695
1.43600368 27.37296760
1.43900160 27.41329795
1.44199952 27.45365770
1.44499744 27.49404335
1.44799536 27.53444905
1.45099328 27.57486805
1.45399120 27.61529230
1.45698912 27.65571445
1.45998704 27.69613980
1.46298496 27.73657145
1.46598288 27.77700070
1.46898080 27.81741985
1.47197872 27.85782075
1.47497664 27.89820080
1.47797456 27.93856325
1.48097248 27.97891345
1.48397040 28.01925760
1.48696832 28.05961265
1.48996624 28.09998220
1.49296416 28.14035160
1.49596208 28.18071700
1.49896000 28.22107785
1.50195792 28.26143055
1.50495584 28.30176950
1.50795376 28.34209205
1.51095168 28.38239195
1.51394960 28.42265725
1.51694752 28.46287860
1.51994544 28.50305450
1.52294336 28.54318585
1.52594128 28.58327190
1.52893920 28.62331405
1.53193712 28.66331195
1.53493504 28.70327305
1.53793296 28.74320125
1.54093088 28.78308405
1.54392880 28.82290810
1.54692672 28.86266350
1.54992464 28.90234465
1.55292256 28.94193400
1.55592048 28.98140110
1.55891840 29.02072880
1.56191632 29.05991500
1.56491424 29.09896265
1.56791216 29.13787600
1.57091008 29.17666110
1.57390800 29.21532645
1.57690592 29.25387910
1.57990384 29.29232315
1.58290176 29.33068305
1.58589968 29.36898465
1.58889760 29.40723165
1.59189552 29.44542295
1.59489344 29.48355695
1.59789136 29.52163215
1.60088928 29.55964590
1.60388720 29.59759795
1.60688512 29.63548750
1.60988304 29.67330990
1.61288096 29.71106225
1.61587888 29.74873600
1.61887680 29.78631555
1.62187472 29.82378890
1.62487264 29.86114705
1.62787056 29.89838245
1.63086848 29.93549665
1.63386640 29.97248985
1.63686432 30.00935540
1.63986224 30.04608860
1.64286016 30.08269025
1.64585808 30.11917455
1.64885600 30.15555855
1.65185392 30.19185165
1.65485184 30.22806005
1.65784976 30.26419075
1.66084768 30.30025130
1.66384560 30.33624925
1.66684352 30.37219260
1.66984144 30.40809305
1.67283936 30.44396460
1.67583728 30.47981210
1.67883520 30.51563940
1.68183312 30.55144915
1.68483104 30.58723690
1.68782896 30.62300030
1.69082688 30.65873910
1.69382480 30.69445415
1.69682272 30.73014700
1.69982064 30.76582165
1.70281856 30.80148660
1.70581648 30.83714990
1.70881440 30.87281290
1.71181232 30.90847620
1.71481024 30.94414225
1.71780816 30.97981305
1.72080608 31.01549110
1.72380400 31.05117950
1.72680192 31.08689000
1.72979984 31.12263170
1.73279776 31.15840370
1.73579568 31.19421735
1.73879360 31.23008265
1.74179152 31.26599715
1.74478944 31.30195765
1.74778736 31.33796255
1.75078528 31.37401745
1.75378320 31.41013435
1.75678112 31.44632900
1.75977904 31.48262525
1.76277696 31.51905615
1.76577488 31.55566475
1.76877280 31.59251175
1.77177072 31.62966670
1.77476864 31.66720115
1.77776656 31.70516975
1.78076448 31.74360310
1.78376240 31.78252245
1.78676032 31.82193805
1.78975824 31.86185100
1.79275616 31.90225210
1.79575408 31.94313050
1.79875200 31.98447325
1.80174992 32.02624400
1.80474784 32.06837945
1.80774576 32.11081220
1.81074368 32.15348320
1.81374160 32.19634195
1.81673952 32.23934880
1.81973744 32.28247740
1.82273536 32.32571095
1.82573328 32.36903795
1.82873120 32.41244865
1.83172912 32.45593530
1.83472704 32.49949660
1.83772496 32.54312770
1.84072288 32.58682020
1.84372080 32.63056795
1.84671872 32.67436560
1.84971664 32.71820920
1.85271456 32.76209655
1.85571248 32.80602995
1.85871040 32.85001025
1.86170832 32.89403580
1.86470624 32.93811125
1.86770416 32.98224905
1.87070208 33.02645280
1.87370000 33.07071710
1.87669792 33.11504270
1.87969584 33.15943370
1.88269376 33.20389545
1.88569168 33.24843715
1.88868960 33.29306585
1.89168752 33.33778340
1.89468544 33.38259215
1.89768336 33.42749755
1.90068128 33.47250320
1.90367920 33.51760690
1.90667712 33.56280640
1.90967504 33.60810055
1.91267296 33.65349160
1.91567088 33.69898360
1.91866880 33.74455970
1.92166672 33.79019330
1.92466464 33.83587105
1.92766256 33.88158485
1.93066048 33.92733820
1.93365840 33.97314280
1.93665632 34.01900815
1.93965424 34.06494385
1.94265216 34.11096115
1.94565008 34.15707775
1.94864800 34.20331800
1.95164592 34.24970155
1.95464384 34.29624040
1.95764176 34.34294045
1.96063968 34.38980785
1.96363760 34.43685335
1.96663552 34.48407945
1.96963344 34.53147820
1.97263136 34.57903820
1.97562928 34.62674970
1.97862720 34.67459680
1.98162512 34.72255510
1.98462304 34.77060155
1.98762096 34.81871365
1.99061888 34.86687015
1.99361680 34.91505360
1.99661472 34.96324880
1.99961264 35.01142585
2.00261056 35.05955000
2.00560848 35.10760255
2.00860640 35.15555160
2.01160432 35.20335790
2.01460224 35.25100125
2.01760016 35.29847230
2.02059808 35.34576730
2.02359600 35.39288365
2.02659392 35.43982195
2.02959184 35.48658610
2.03258976 35.53317360
2.03558768 35.57958050
2.03858560 35.62580775
2.04158352 35.67185575
2.04458144 35.71772485
2.04757936 35.76341435
2.05057728 35.80892410
2.05357520 35.85425985
2.05657312 35.89943090
2.05957104 35.94445470
2.06256896 35.98934855
2.06556688 36.03414215
2.06856480 36.07887305
2.07156272 36.12355745
2.07456064 36.16820300
2.07755856 36.21281720
2.08055648 36.25740505
2.08355440 36.30196665
2.08655232 36.34649805
2.08955024 36.39099380
2.09254816 36.43545785
2.09554608 36.47988950
2.09854400 36.52427145
2.10154192 36.56858565
2.10453984 36.61281875
2.10753776 36.65696115
2.11053568 36.70100515
2.11353360 36.74494360
2.11653152 36.78876975
2.11952944 36.83247820
2.12252736 36.87606815
2.12552528 36.91953140
2.12852320 36.96283395
2.13152112 37.00593660
2.13451904 37.04881175
2.13751696 37.09143640
2.14051488 37.13379185
2.14351280 37.17585835
2.14651072 37.21760930
2.14950864 37.25901605
2.15250656 37.30005520
2.15550448 37.34070205
2.15850240 37.38095795
2.16150032 37.42083965
2.16449824 37.46034545
2.16749616 37.49947325
2.17049408 37.53822700
2.17349200 37.57661785
2.17648992 37.61466120
2.17948784 37.65237290
2.18248576 37.68975935
2.18548368 37.72683125
2.18848160 37.76362010
2.19147952 37.80015610
2.19447744 37.83646510
2.19747536 37.87257410
2.20047328 37.90850475
2.20347120 37.94427400
2.20646912 37.97989805
2.20946704 38.01542365
2.21246496 38.05090510
2.21546288 38.08635755
2.21846080 38.12177730
2.22145872 38.15715410
2.22445664 38.19246780
2.22745456 38.22769590
2.23045248 38.26282425
2.23345040 38.29784290
2.23644832 38.33273705
2.23944624 38.36748935
2.24244416 38.40209000
2.24544208 38.43653525
2.24844000 38.47082070
2.25143792 38.50494025
2.25443584 38.53886895
2.25743376 38.57257780
2.26043168 38.60605405
2.26342960 38.63929455
2.26642752 38.67229615
2.26942544 38.70505395
2.27242336 38.73756670
2.27542128 38.76983835
2.27841920 38.80187335
2.28141712 38.83367695
2.28441504 38.86527135
2.28741296 38.89668050
2.29041088 38.92791795
2.29340880 38.95899180
2.29640672 38.98990750
2.29940464 39.02067005
2.30240256 39.05128160
2.30540048 39.08174485
2.30839840 39.11206315
2.31139632 39.14223775
2.31439424 39.17227915
2.31739216 39.20220565
2.32039008 39.23202260
2.32338800 39.26172430
2.32638592 39.29130570
2.32938384 39.32076305
2.33238176 39.35009455
2.33537968 39.37930150
2.33837760 39.40838675
2.34137552 39.43735865
2.34437344 39.46622865
2.34737136 39.49500510
2.35036928 39.52369685
2.35336720 39.55231430
2.35636512 39.58086485
2.35936304 39.60935135
2.36236096 39.63778080
2.36535888 39.66615820
2.36835680 39.69448535
2.37135472 39.72276115
2.37435264 39.75098130
2.37735056 39.77914795
2.38034848 39.80726030
2.38334640 39.83531060
2.38634432 39.86328675
2.38934224 39.89117855
2.39234016 39.91898655
2.39533808 39.94671370
2.39833600 39.97435550
2.40133392 40.00190435
2.40433184 40.02935715
2.40732976 40.05671215
2.41032768 40.08395935
2.41332560 40.11109065
2.41632352 40.13810810
2.41932144 40.16500190
2.42231936 40.19174850
2.42531728 40.21833360
2.42831520 40.24475255
2.43131312 40.27100220
2.43431104 40.29707890
2.43730896 40.32298060
2.44030688 40.34870045
2.44330480 40.37423980
2.44630272 40.39961420
2.44930064 40.42483735
2.45229856 40.44991800
2.45529648 40.47486030
2.45829440 40.49966870
2.46129232 40.52434850
2.46429024 40.54890555
2.46728816 40.57335155
2.47028608 40.59769995
2.47328400 40.62195625
2.47628192 40.64612240
2.47927984 40.67020175
2.48227776 40.69419685
2.48527568 40.71810850
2.48827360 40.74193960
2.49127152 40.76569635
2.49426944 40.78938215
2.49726736 40.81300315
2.50026528 40.83656990
2.50326320 40.86009115
2.50626112 40.88357900
2.50925904 40.90705115
2.51225696 40.93053155
2.51525488 40.95404745
2.51825280 40.97762275
2.52125072 41.00127575
2.52424864 41.02502130
2.52724656 41.04887590
2.53024448 41.07286125
2.53324240 41.09698890
2.53624032 41.12125655
2.53923824 41.14565365
2.54223616 41.17016160
2.54523408 41.19476285
2.54823200 41.21944415
2.55122992 41.24419430
