# Efermi (eV) : -1.044522
# (SCF 12x12x1 G-cntrd k points)
"k_distance (normalized)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11
0.90909 -6.03848 -5.13628 -4.18158 -3.05498 -2.21588 -1.07958 -0.90078 1.72792 2.07332 3.28182 3.87402
0.91919 -6.05358 -5.14948 -4.18298 -3.06018 -2.21928 -1.06878 -0.89498 1.72812 2.08472 3.29042 3.87602
0.92929 -6.06698 -5.16118 -4.18438 -3.06478 -2.22228 -1.05898 -0.88988 1.72832 2.09492 3.29792 3.87782
0.93939 -6.07878 -5.17128 -4.18558 -3.06878 -2.22488 -1.05028 -0.88548 1.72862 2.10402 3.30442 3.87942
0.94949 -6.08868 -5.17998 -4.18668 -3.07218 -2.22708 -1.04288 -0.88168 1.72882 2.11182 3.31002 3.88072
0.95960 -6.09688 -5.18698 -4.18758 -3.07498 -2.22888 -1.03668 -0.87868 1.72902 2.11832 3.31452 3.88182
0.96970 -6.10328 -5.19258 -4.18828 -3.07708 -2.23028 -1.03178 -0.87628 1.72922 2.12342 3.31802 3.88262
0.97980 -6.10788 -5.19648 -4.18888 -3.07868 -2.23128 -1.02828 -0.87458 1.72932 2.12712 3.32052 3.88322
0.98990 -6.11058 -5.19888 -4.18918 -3.07958 -2.23188 -1.02618 -0.87358 1.72942 2.12942 3.32202 3.88362
1.00000 -6.11158 -5.19968 -4.18928 -3.07988 -2.23208 -1.02548 -0.87328 1.72952 2.13012 3.32252 3.88372
