# 8x8x1 supercell
"q (normalized)" f1 f2 f3 f4 f5 f6 f7 f8 f9
0.90000 3.47393 3.92420 4.60386 5.61590 6.10794 6.44337 8.49292 8.98353 9.00667
0.90333 3.45945 3.92499 4.61178 5.60754 6.10991 6.44750 8.49313 8.98153 9.00855
0.90667 3.44515 3.92584 4.61962 5.59934 6.11183 6.45150 8.49329 8.97961 9.01039
0.91000 3.43107 3.92672 4.62737 5.59132 6.11369 6.45537 8.49341 8.97776 9.01218
0.91333 3.41724 3.92764 4.63501 5.58347 6.11549 6.45912 8.49347 8.97599 9.01390
0.91667 3.40369 3.92859 4.64251 5.57582 6.11722 6.46273 8.49350 8.97430 9.01558
0.92000 3.39044 3.92957 4.64986 5.56838 6.11890 6.46621 8.49349 8.97268 9.01720
0.92333 3.37752 3.93056 4.65704 5.56114 6.12051 6.46957 8.49344 8.97114 9.01876
0.92667 3.36495 3.93157 4.66403 5.55414 6.12207 6.47279 8.49336 8.96968 9.02026
0.93000 3.35278 3.93258 4.67081 5.54736 6.12355 6.47587 8.49325 8.96829 9.02170
0.93333 3.34100 3.93359 4.67738 5.54083 6.12498 6.47881 8.49312 8.96698 9.02308
0.93667 3.32966 3.93460 4.68372 5.53456 6.12634 6.48162 8.49296 8.96573 9.02441
0.94000 3.31877 3.93560 4.68981 5.52854 6.12763 6.48430 8.49279 8.96456 9.02566
0.94333 3.30834 3.93658 4.69563 5.52279 6.12886 6.48683 8.49260 8.96347 9.02686
0.94667 3.29841 3.93753 4.70119 5.51733 6.13001 6.48922 8.49240 8.96244 9.02799
0.95000 3.28898 3.93847 4.70647 5.51215 6.13110 6.49148 8.49220 8.96148 9.02906
0.95333 3.28008 3.93936 4.71145 5.50727 6.13213 6.49359 8.49198 8.96060 9.03005
0.95667 3.27173 3.94022 4.71613 5.50269 6.13308 6.49555 8.49177 8.95977 9.03099
0.96000 3.26393 3.94104 4.72050 5.49842 6.13396 6.49738 8.49156 8.95902 9.03186
0.96333 3.25670 3.94181 4.72455 5.49446 6.13478 6.49906 8.49136 8.95833 9.03266
0.96667 3.25006 3.94253 4.72827 5.49083 6.13553 6.50060 8.49116 8.95770 9.03339
0.97000 3.24401 3.94319 4.73165 5.48753 6.13620 6.50199 8.49097 8.95714 9.03405
0.97333 3.23857 3.94380 4.73470 5.48456 6.13681 6.50324 8.49080 8.95664 9.03465
0.97667 3.23374 3.94434 4.73741 5.48192 6.13734 6.50434 8.49064 8.95620 9.03518
0.98000 3.22955 3.94482 4.73976 5.47963 6.13780 6.50529 8.49050 8.95582 9.03563
0.98333 3.22598 3.94522 4.74176 5.47769 6.13820 6.50610 8.49038 8.95550 9.03602
0.98667 3.22306 3.94556 4.74339 5.47609 6.13852 6.50676 8.49028 8.95524 9.03634
0.99000 3.22078 3.94582 4.74467 5.47485 6.13877 6.50728 8.49019 8.95504 9.03658
0.99333 3.21914 3.94601 4.74559 5.47396 6.13895 6.50765 8.49013 8.95489 9.03676
0.99667 3.21816 3.94613 4.74614 5.47342 6.13905 6.50787 8.49010 8.95481 9.03687
1.00000 3.21784 3.94616 4.74632 5.47325 6.13909 6.50794 8.49009 8.95478 9.03690
