# Efermi (eV) : -1.044522
# (SCF 12x12x1 G-cntrd k points)
"k_distance (normalized)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11
0.76190 -5.39198 -5.36778 -4.05648 -3.38258 -3.36008 -2.32678 -0.41768 1.46632 2.44342 2.70932 4.12472
0.76871 -5.40568 -5.38188 -4.04968 -3.36158 -3.32018 -2.31498 -0.43058 1.48572 2.46942 2.68352 4.10102
0.77551 -5.44298 -5.37158 -4.04578 -3.36218 -3.25388 -2.30348 -0.44318 1.50522 2.49762 2.65712 4.07612
0.78231 -5.47978 -5.36138 -4.04418 -3.36208 -3.18418 -2.29238 -0.45548 1.52452 2.52792 2.63022 4.05012
0.78912 -5.51578 -5.35118 -4.04448 -3.36088 -3.11168 -2.28168 -0.46748 1.54352 2.56032 2.60322 4.02312
0.79592 -5.55108 -5.34098 -4.04628 -3.35878 -3.03678 -2.27158 -0.47908 1.56222 2.57592 2.59472 3.99522
0.80272 -5.58568 -5.33108 -4.04928 -3.35568 -2.96008 -2.26208 -0.49018 1.58042 2.54872 2.63132 3.96662
0.80952 -5.61928 -5.32128 -4.05328 -3.35158 -2.88188 -2.25318 -0.50088 1.59812 2.52162 2.66982 3.93742
0.81633 -5.65208 -5.31178 -4.05808 -3.34638 -2.80238 -2.24498 -0.51108 1.61502 2.49472 2.71022 3.90772
0.82313 -5.68398 -5.30258 -4.06348 -3.34028 -2.72198 -2.23748 -0.52088 1.63122 2.46812 2.75252 3.87762
0.82993 -5.71488 -5.29368 -4.06938 -3.33308 -2.64088 -2.23078 -0.53038 1.64652 2.44192 2.79662 3.84732
0.83673 -5.74478 -5.28528 -4.07568 -3.32488 -2.55938 -2.22478 -0.53938 1.66092 2.41642 2.84242 3.81702
0.84354 -5.77368 -5.27718 -4.08228 -3.31578 -2.47758 -2.21958 -0.54828 1.67432 2.39152 2.88982 3.78672
0.85034 -5.80148 -5.26948 -4.08908 -3.30578 -2.39578 -2.21528 -0.55678 1.68662 2.36742 2.93852 3.75662
