# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)" "1/tau_iso (THz)"
24 6 6.70900 0.12893 0.02523
24 7 8.62365 0.12618 0.78151
24 8 8.86630 0.17154 0.31337
24 9 9.97212 0.40581 0.09432
25 1 1.88803 0.01648 0.00073
25 2 2.36501 0.04461 0.00146
25 3 3.74504 0.07212 0.01592
25 4 5.26903 0.11502 0.03630
25 5 5.89284 0.11699 0.03133
25 6 6.67644 0.12919 0.02524
25 7 8.62023 0.13038 0.70015
25 8 8.87215 0.17605 0.32500
25 9 9.92259 0.35241 0.09633
26 1 2.00366 0.01527 0.00086
26 2 2.43463 0.04570 0.00164
26 3 3.85125 0.07489 0.01590
26 4 5.28249 0.11378 0.03769
26 5 5.92906 0.11490 0.03529
26 6 6.64502 0.13760 0.02542
26 7 8.61625 0.12999 0.63531
26 8 8.87802 0.18062 0.33113
26 9 9.87238 0.36162 0.09851
27 1 2.11893 0.01709 0.00101
27 2 2.50108 0.04705 0.00183
27 3 3.95168 0.07839 0.00728
27 4 5.29571 0.11229 0.03900
27 5 5.96326 0.11311 0.01627
27 6 6.61507 0.12516 0.02577
27 7 8.61166 0.13081 0.59477
27 8 8.88396 0.18676 0.33746
27 9 9.82159 0.28243 0.10089
28 1 2.23355 0.02912 0.00118
28 2 2.56432 0.04970 0.00204
28 3 4.04618 0.08310 0.00359
28 4 5.30863 0.11136 0.04031
28 5 5.99534 0.11135 0.01868
28 6 6.58686 0.12246 0.02634
28 7 8.60653 0.13189 0.35770
28 8 8.88990 0.19330 0.34479
28 9 9.77048 0.26566 0.10361
29 1 2.34721 0.04418 0.00138
29 2 2.62430 0.06234 0.00226
29 3 4.13450 0.09698 0.00503
29 4 5.32126 0.11054 0.04174
29 5 6.02517 0.10991 0.05916
29 6 6.56072 0.12131 0.02713
29 7 8.60090 0.13344 0.34186
29 8 8.89580 0.19908 0.35401
29 9 9.71924 0.25979 0.10667
30 1 2.45963 0.07597 0.00161
30 2 2.68102 0.06405 0.00249
30 3 4.21652 0.09817 0.01120
30 4 5.33352 0.10951 0.04317
30 5 6.05269 0.10920 0.10527
30 6 6.53694 0.12036 0.02849
30 7 8.59481 0.13620 0.33061
30 8 8.90162 0.20433 0.36407
30 9 9.66810 0.24271 0.11013
31 1 2.57051 0.06554 0.00187
31 2 2.73448 0.06463 0.00273
31 3 4.29207 0.09853 0.01043
31 4 5.34542 0.10917 0.04456
31 5 6.07775 0.10775 0.10093
31 6 6.51575 0.11945 0.03044
31 7 8.58833 0.13872 0.32185
31 8 8.90731 0.21419 0.37572
31 9 9.61731 0.24388 0.11406
32 1 2.67958 0.07461 0.00218
32 2 2.78472 0.06222 0.00299
32 3 4.36105 0.09521 0.01215
32 4 5.35693 0.10872 0.04618
32 5 6.10027 0.10696 0.11890
32 6 6.49737 0.11868 0.06980
32 7 8.58153 0.14441 0.31649
32 8 8.91280 0.20867 0.38963
32 9 9.56719 0.24402 0.11853
33 1 2.78656 0.10863 0.00254
33 2 2.83176 0.06215 0.00330
33 3 4.42341 0.09325 0.01618
33 4 5.36802 0.10831 0.04773
33 5 6.12017 0.10764 0.16555
33 6 6.48196 0.11791 0.07987
33 7 8.57451 0.14198 0.31438
33 8 8.91802 0.20646 0.40637
33 9 9.51799 0.24756 0.12365
34 1 2.87567 0.05929 0.00350
34 2 2.89115 0.15278 0.00297
34 3 4.47920 0.09009 0.02471
34 4 5.37867 0.10808 0.04945
34 5 6.13738 0.10848 0.29825
34 6 6.46961 0.11680 0.09251
34 7 8.56735 0.14380 0.31497
34 8 8.92293 0.20838 0.42656
34 9 9.46999 0.28040 0.12954
35 1 2.91653 0.07237 0.00385
35 2 2.99307 0.20864 0.00353
35 3 4.52846 0.08881 0.01986
35 4 5.38889 0.10825 0.05117
35 5 6.15186 0.10967 0.19967
35 6 6.46032 0.11596 0.11100
35 7 8.56012 0.14885 0.31802
35 8 8.92749 0.21276 0.44810
35 9 9.42350 0.28243 0.13631
36 1 2.95442 0.06020 0.00415
36 2 3.09200 0.11560 0.00424
36 3 4.57139 0.08854 0.01921
36 4 5.39863 0.10868 0.05304
36 5 6.16358 0.11095 0.17481
36 6 6.45402 0.11545 0.13361
36 7 8.55293 0.16058 0.32418
36 8 8.93169 0.20533 0.47535
36 9 9.37877 0.28003 0.14462
37 1 2.98943 0.05596 0.00449
37 2 3.18763 0.10680 0.00549
37 3 4.60823 0.06413 0.01954
37 4 5.40784 0.10943 0.05494
37 5 6.17255 0.11262 0.16666
37 6 6.45051 0.11546 0.18291
37 7 8.54582 0.16174 0.33357
37 8 8.93549 0.21162 0.50382
37 9 9.33611 0.27149 0.15413
38 1 3.02167 0.05292 0.00484
38 2 3.27958 0.09086 0.00591
38 3 4.63935 0.07115 0.02042
38 4 5.41656 0.11039 0.05708
38 5 6.17884 0.11417 0.15659
38 6 6.44965 0.11657 0.21837
38 7 8.53893 0.13433 0.34603
38 8 8.93888 0.21941 0.53871
38 9 9.29575 0.25664 0.16505
39 1 3.05123 0.05012 0.00520
39 2 3.36754 0.08236 0.00615
39 3 4.66516 0.07064 0.02179
39 4 5.42471 0.11161 0.05920
39 5 6.18253 0.11555 0.15492
39 6 6.45105 0.11978 0.17727
39 7 8.53230 0.13424 0.36261
39 8 8.94185 0.22833 0.58019
39 9 9.25792 0.25121 0.17769
40 1 3.07818 0.04780 0.00558
40 2 3.45109 0.07853 0.00671
40 3 4.68618 0.06792 0.02335
40 4 5.43233 0.11369 0.06167
40 5 6.18382 0.11659 0.01253
40 6 6.45438 0.13303 0.14260
40 7 8.52601 0.13557 0.38376
40 8 8.94446 0.23877 0.62151
40 9 9.22279 0.24956 0.19236
41 1 3.10264 0.04521 0.00599
41 2 3.52982 0.06697 0.00746
41 3 4.70290 0.07154 0.02524
41 4 5.43931 0.11729 0.06428
41 5 6.18295 0.11724 0.14325
41 6 6.45924 0.13148 0.12668
41 7 8.52010 0.13694 0.41096
41 8 8.94671 0.24922 0.67267
41 9 9.19050 0.24464 0.20935
42 1 3.12465 0.04288 0.00641
42 2 3.60327 0.06885 0.00829
42 3 4.71592 0.07757 0.02746
42 4 5.44573 0.12427 0.06704
42 5 6.18016 0.11749 0.17574
42 6 6.46517 0.12590 0.11391
42 7 8.51462 0.13884 0.44528
42 8 8.94860 0.26226 0.73363
42 9 9.16121 0.24263 0.22881
43 1 3.14425 0.04104 0.00685
43 2 3.67096 0.07307 0.00951
43 3 4.72575 0.08065 0.03034
43 4 5.45152 0.13189 0.07032
43 5 6.17584 0.11714 0.17481
43 6 6.47183 0.12429 0.10631
43 7 8.50964 0.14055 0.49135
43 8 8.95018 0.27688 0.80899
43 9 9.13501 0.24278 0.25558
44 1 3.16155 0.03972 0.00735
44 2 3.73239 0.08017 0.01326
44 3 4.73297 0.08823 0.03507
