# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"temperature (K)" "frequency (THz)" "kappa spec (W/mK/THz)" "cumulative kappa (W/mK)"
300.00000 8.66400 0.00274 62.19055
300.00000 8.69398 0.03670 62.19165
300.00000 8.72396 0.06517 62.19360
300.00000 8.75394 0.07774 62.19593
300.00000 8.78392 0.06554 62.19790
300.00000 8.81390 0.03008 62.19880
300.00000 8.84388 0.00993 62.19909
300.00000 8.87386 0.01769 62.19962
300.00000 8.90384 0.03603 62.20071
300.00000 8.93382 0.04464 62.20204
300.00000 8.96379 0.05438 62.20367
300.00000 8.99377 0.08342 62.20617
300.00000 9.02375 0.07784 62.20851
300.00000 9.05373 0.10451 62.21164
300.00000 9.08371 0.12503 62.21539
300.00000 9.11369 0.13487 62.21943
300.00000 9.14367 0.13988 62.22363
300.00000 9.17365 0.15558 62.22829
300.00000 9.20363 0.16693 62.23330
300.00000 9.23361 0.17573 62.23856
300.00000 9.26359 0.18377 62.24407
300.00000 9.29357 0.19502 62.24992
300.00000 9.32355 0.20354 62.25602
300.00000 9.35352 0.21035 62.26233
300.00000 9.38350 0.21706 62.26883
300.00000 9.41348 0.22482 62.27557
300.00000 9.44346 0.22973 62.28246
300.00000 9.47344 0.23267 62.28944
300.00000 9.50342 0.23494 62.29648
300.00000 9.53340 0.23598 62.30355
300.00000 9.56338 0.23635 62.31064
300.00000 9.59336 0.23635 62.31773
300.00000 9.62334 0.23427 62.32475
300.00000 9.65332 0.22992 62.33164
300.00000 9.68330 0.22415 62.33836
300.00000 9.71328 0.21734 62.34488
300.00000 9.74325 0.21016 62.35118
300.00000 9.77323 0.20250 62.35725
300.00000 9.80321 0.19039 62.36296
300.00000 9.83319 0.17232 62.36812
300.00000 9.86317 0.15549 62.37278
300.00000 9.89315 0.14537 62.37714
300.00000 9.92313 0.13951 62.38132
300.00000 9.95311 0.13601 62.38540
300.00000 9.98309 0.13572 62.38947
300.00000 10.01307 0.13894 62.39364
300.00000 10.04305 0.14575 62.39801
300.00000 10.07303 0.14858 62.40246
300.00000 10.10301 0.14509 62.40681
300.00000 10.13299 0.13705 62.41092
300.00000 10.16296 0.12863 62.41477
300.00000 10.19294 0.12068 62.41839
300.00000 10.22292 0.11066 62.42171
300.00000 10.25290 0.10120 62.42474
300.00000 10.28288 0.09108 62.42747
300.00000 10.31286 0.08181 62.42993
300.00000 10.34284 0.07235 62.43210
300.00000 10.37282 0.06384 62.43401
300.00000 10.40280 0.05760 62.43574
