# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "mfp (nm)" multiplicity "modal kappa (W/mK)"
64 6 7.02015 5.13282 12 0.00004
64 7 8.62866 0.03663 12 0.00000
64 8 8.80179 1.32098 12 0.00000
64 9 10.38163 2.43715 12 0.00002
65 1 0.84085 266.57400 12 0.00865
65 2 1.56505 119.32800 12 0.00375
65 3 2.48940 99.79770 12 0.00491
65 4 5.13841 2.27912 12 0.00001
65 5 5.47955 7.02295 12 0.00010
65 6 6.99023 5.38557 12 0.00005
65 7 8.63007 0.02696 12 0.00000
65 8 8.81066 0.97494 12 0.00000
65 9 10.34494 2.71914 12 0.00003
66 1 0.94188 205.38000 12 0.00689
66 2 1.66043 94.12050 12 0.00289
66 3 2.64007 111.32100 12 0.00533
66 4 5.15163 2.32145 12 0.00001
66 5 5.52634 8.21112 12 0.00012
66 6 6.95914 5.59093 12 0.00005
66 7 8.63114 0.01884 12 0.00000
66 8 8.81878 0.75873 12 0.00000
66 9 10.30644 2.92807 12 0.00003
67 1 1.04614 207.77600 12 0.00716
67 2 1.75355 86.23420 12 0.00258
67 3 2.78689 98.84800 12 0.00460
67 4 5.16518 2.29672 12 0.00001
67 5 5.57302 8.52327 12 0.00012
67 6 6.92706 5.78872 12 0.00006
67 7 8.63183 0.00991 12 0.00000
67 8 8.82622 0.52631 12 0.00000
67 9 10.26630 3.14222 12 0.00003
68 1 1.15319 178.57800 12 0.00630
68 2 1.84429 77.02930 12 0.00224
68 3 2.92967 66.81120 12 0.00301
68 4 5.17897 2.37373 12 0.00001
68 5 5.61928 8.55593 12 0.00012
68 6 6.89415 5.89446 12 0.00006
68 7 8.63207 0.01410 12 0.00000
68 8 8.83311 0.47308 12 0.00000
68 9 10.22457 3.36114 12 0.00004
69 1 1.26262 158.32400 12 0.00569
69 2 1.93252 68.96110 12 0.00195
69 3 3.06820 65.20010 12 0.00284
69 4 5.19294 2.52000 12 0.00001
69 5 5.66482 8.44158 12 0.00012
69 6 6.86060 5.88349 12 0.00006
69 7 8.63186 0.01177 12 0.00000
69 8 8.83956 0.37179 12 0.00000
69 9 10.18137 3.53873 12 0.00004
70 1 1.37402 149.78900 12 0.00546
70 2 2.01815 52.06390 12 0.00143
70 3 3.20226 56.74630 12 0.00239
70 4 5.20704 2.57415 12 0.00001
70 5 5.70943 8.19063 12 0.00011
70 6 6.82663 6.05466 12 0.00006
70 7 8.63111 0.02475 12 0.00000
70 8 8.84571 0.30563 12 0.00000
70 9 10.13679 3.25678 12 0.00004
71 1 1.48699 126.25000 12 0.00466
71 2 2.10107 47.47210 12 0.00126
71 3 3.33171 52.95030 12 0.00214
71 4 5.22113 2.61280 12 0.00001
71 5 5.75287 7.64697 12 0.00010
71 6 6.79252 6.23770 12 0.00006
71 7 8.62980 0.03808 12 0.00000
71 8 8.85164 0.26483 12 0.00000
71 9 10.09089 3.53138 12 0.00004
72 1 1.60114 103.52200 12 0.00385
72 2 2.18118 36.01940 12 0.00092
72 3 3.45628 44.56800 12 0.00173
72 4 5.23519 2.61431 12 0.00001
72 5 5.79496 7.23339 12 0.00009
